model,phase,scale,n_h2o,pbc_max_cell_vector_A,zero_d_cell_vector_A,pbc_minus_0d_kJ_mol_H2O,valid_converged_pair,old_full_pbc_minus_0d_kJ_mol_H2O,current_minus_old_pbc_kJ_mol_H2O,current_minus_old_zero_d_kJ_mol_H2O,pbc_scc_steps,zero_d_scc_steps,pbc_final_scc_residual,zero_d_final_scc_residual,pbc_returncode,zero_d_returncode,pbc_program_ended,zero_d_program_ended,geometry_alignment_max_error_A,intramolecular_OH_max_delta_A,parameter_sha256,build_id,pbc_input_sha256,zero_d_input_sha256,pbc_output_sha256,zero_d_output_sha256,delta_core_kJ_mol_H2O,delta_repulsive_kJ_mol_H2O,delta_electrostatic_kJ_mol_H2O,delta_dispersion_sc_kJ_mol_H2O,delta_dispersion_non_sc_kJ_mol_H2O,delta_halogen_kJ_mol_H2O,delta_electronic_entropy_kJ_mol_H2O,delta_other_interactions_residual_kJ_mol_H2O
full,Ih,1.5,12,11.5171395,40.0,-12.252406589814962,True,45.21483706967367,-57.087567078009386,0.3796765814543765,13,14,7.112e-10,3.4902e-10,0,0,True,True,1.7320509510615833e-10,1.3014744837391845e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,d7adf834472cff2a68ad3c72c1d0ea4e4603792df26efe3de224f469e52473e6,7e6f2a7421aafc6291ca921c2233ea6e2d6c803ac6bc0e5bfdbe804332cace41,0c9af339dd1565d8ab60979cc886604b417fc8cc0d36c5c0e774efad6401009b,11537895729baed03ef7a4dbf68475cdeb81cf17607bf93e57a1f02debe39902,6191.666154066278,-0.16219033263993696,6.415882532636848,-1.1122690139539702,0.029263095614921873,0.0,0.0,-6209.089246937763
full,Ih,2.0,12,15.356186,40.0,-3.007665202981998,True,47.74221798673091,-50.312058917102426,0.43782427261048235,13,13,4.6123e-10,5.6663e-10,0,0,True,True,2.449504449691246e-10,1.3014722632931353e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,6d694ee5c9ceee1eb7a27c2d7ec02ab50d00d055dfd758224a78f919894f2a98,589705d661e64e83a766909896343b01d0d9193f228b531e2ac09fce342f6971,49e642793128b807719c142b1072da1f292817c31ea9417d5609dcbeb6b92e07,8097627dc4c7b227b66d3ee69940dce714fb9cc0f97b482230eeb69ac5767409,6196.752724971162,-0.06607230694855787,2.4676268613679007,-0.18230152555337298,0.001521499287812214,0.0,0.0,-6201.981164702317
full,Ih,3.0,12,23.034279,40.0,-0.7114980476863493,True,-0.2160224776673552,-0.06294055688494535,0.4325350131589224,13,13,3.2771e-10,2.3615e-10,0,0,True,True,2.449518953326465e-10,2.4303736800845854e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,cdd39deaafc370874e66bd302a9cc34021389d48c551ccae6145595a1029810d,1c5422571f2a15d4f869f528c6d13f99d3c59d570d0f114a0a37e4bf90a549e8,6c901c6feab646d47d377817b472102def7ef7d67b785d3b87575b004cee2d38,ef977b99ab249b6569c11689323affe550bac9ea6d9aa993a99d9193e3f29a01,6199.463250365654,-0.018457366371808233,0.7101525594442334,-0.014655340355401577,-6.583033612343368e-05,0.0,0.0,-6200.851722435721
full,Ih,4.0,12,30.712372,40.0,-0.27623944622614727,True,-0.0803359807945244,0.23554877018876483,0.43145223562038765,13,13,2.3561e-10,2.6404e-10,0,0,True,True,1.7320304400668699e-10,1.6021894921891544e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,2d3f101f3bfd45580387b9c2bd6e4ef39ddbb785d36902bfb2ec20c71607e5fe,582e3545a4e6f2d825c39133426d68788c5ed58710702aa40dc7d88000169e8f,6cc89593c1117c0a53872c264ea8060ced93a19aeb0b1af91fa22fe43f90e868,30ac4cd5fef30dbad8d1994446be35ba6ef76200c15f0512a59102cb98fa9de5,6200.081125758478,-0.007499936359198025,0.2983553690765992,-0.002395881074651193,-1.0962112993905712e-05,0.0,0.0,-6200.645813794229
full,VII,1.5,12,15.83230400780248,40.0,-166.7845417821461,True,62.134583074402904,-228.41634000373907,0.502784852809959,11,14,6.8172e-10,1.2679e-10,0,0,True,True,1.999964638659504e-10,1.1703626956460766e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,e33b2ef83b96602227aaf79de5ccf93543d77457337320654d6c85cea24097eb,ed7ba1879d1b7c0d1318e1dce42beada00dc4ad93e1d2d42d7fffcacf6a66dcc,5cf7836ffdaeb5ae689ddf66589e5e1ddcb546f1cd6a360cf9b444f8d2fb1a30,86847be74fed2b49502ecbed1b2220c8b43cd22ab614e1d8c9961248a6d264d0,6181.029873974676,-0.6397514941030875,38.31406862435797,-1.4439377444954777,0.15509343454466473,0.0,0.0,-6384.199888577143
full,VII,2.0,12,21.10973867710331,40.0,-67.42007371319848,True,51.20086022039402,-118.07908123392833,0.541852699639294,11,13,6.2997e-10,8.1087e-10,0,0,True,True,2.4494754419055325e-10,1.7306167610087186e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,0c43db209cfa67140f3e8b2fc04e495e1cdd0fe828626463c3e26666094ff31b,ee751bf36ed857e378e27aa08e1326f427e2d954e51bed194e9f81b6b703cf35,07bc667763253de7d43a69d3192ff9aae271b4a1bd4cbd84230e18fa07ad313a,99914b851f207f58ae5c2daf3f959afabfc62a1a69b82a6ff813181cda963e42,6206.822671651355,-0.2761448043039735,16.332886417519642,-0.24603733739364472,0.010943476560781028,0.0,0.0,-6290.064393116936
full,VII,3.0,12,31.66460801560496,40.0,-110.41839468334659,True,0.0737316314433981,-109.9475820285065,0.5445442862959264,15,12,3.9503e-10,3.3565e-10,0,0,True,True,1.4142388008649888e-10,1.1703593649770028e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,cbd86d689170a61c5ca0c4129d3973661fcdf086c4d9235540c2dd3b62390181,08e6aeed2ca16d13a5e43ef50ada669d69c7d4715b8e22ab1e6bcc397fb8eb19,c3b585451a303a4dbf192e8f0cb501c782dcd11bca2f0407509f54b5fd4a78f2,ed34048f0c71df2e9b89188789f24581c173f85a1180e56c203408390979c34a,6319.7128807274585,0.21180676613195124,-13.771255842217666,-0.026919661265082728,0.00021534476473704836,0.0,0.0,-6416.545122018205
full,XIV,1.5,12,12.552168,40.0,-93.20642590833818,True,55.29485873501432,-148.03264787934535,0.4686367640320384,14,14,2.5306e-10,4.1606e-10,0,0,True,True,1.7320406953213172e-10,1.3763579165271267e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,0a8c1c1a9a4ac6479f188430ec8abc795061631cbf1f593ab534a5c133ba58b2,a404715ca26e824ef7910676f73483ad28572e314efb43908af38a568016c98b,9188cb07aef5d1e1207066b5e72acad114fd6360990c269c7acdfab8eb1e4298,9d2157a1fd82e16e68a707dd43a776ba6f64b577bed3ccadd6fd0a90c8db06eb,6191.2418542747755,-0.36618230563018034,22.07672140400948,-1.300321149737955,0.09650649296605748,0.0,0.0,-6304.955004624718
full,XIV,2.0,12,16.736224,40.0,-25.97249583748437,True,51.77488705493911,-77.2452864124975,0.5020964799259741,13,13,9.8316e-10,9.0911e-10,0,0,True,True,2.4494899454548683e-10,1.3763501449659543e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,2ddf9c748c26192b5db45ed510cc0a139898039d4847877d3bb26eb1f21302c5,cd89fbeec3085a2c023253cbbf6ef6c9151c53a5ea0994f295fe20b5e21bc5a7,ed49fc882b704a1a242e689879206639563f3da06aa6714ae4129be45bf6227a,a07b38affda612ad5e5913adb04ba022c2c220e4bb35c8756f40ddb670c47bde,6207.849476411201,-0.11827962202065605,6.758134046360369,-0.21829630352294702,0.00629811276365723,0.0,0.0,-6240.249828482272
full,XIV,3.0,12,25.104336,40.0,-1.7854974573689535,True,-0.287274235001963,-1.0015154978295497,0.49670772453744066,13,13,9.8105e-10,4.5269e-10,0,0,True,True,2.2360681625834416e-10,2.0318879911940257e-10,,CP2K 28df9380abb3 / save_tblite 257ba442684c,d3aaa8d6c27c51336dfaa4f72c6a3651dce34d9755d42ced38d335023b1807ab,3fa8b4d5e2c077a6f81b4d9e8aaf8560b0e6ee0b8521b3103eb63432461d4443,3ccdce88a92b674a989af0ef300f8074835b56d661058af994da5d3f5bcd56a5,bade047e6262bd76cf66423d49c20f21275f253c5c78c8768d35882ad931ed1b,6214.916664740153,-0.019306863139340255,0.8392828063951264,-0.017968397180695487,9.514943937581861e-05,0.0,0.0,-6217.50426489304
