phase,scale,max_periodic_cell_vector_A,full_deltaE_kJ_mol_H2O,no_exchange_deltaE_kJ_mol_H2O,frozen_qvszp_deltaE_kJ_mol_H2O,no_anisotropic_multipole_deltaE_kJ_mol_H2O,no_acp_deltaE_kJ_mol_H2O,full_pbc_zero_d_scc_steps,full_max_final_scc_residual
Ih,1.5,11.5171395,-12.252406589814962,-10.181459795667527,-11.536629521767262,-10.409925076457203,-7.269871797645634,13/14,7.112e-10
Ih,2.0,15.356186,-3.007665202981998,-2.9487568540812523,-2.8872498548728913,-2.457738158851144,-1.7675540782494386,13/13,5.6663e-10
Ih,3.0,23.034279,-0.7114980476863493,-0.7126445843785255,-0.7183542555356505,-0.590213929312445,-0.39691430051023585,13/13,3.2771e-10
Ih,4.0,30.712372,-0.27623944622614727,-0.27493709721038095,-0.2841570834124636,-0.23299897177353912,-0.14359233863823417,13/13,2.6404e-10
VII,1.5,15.83230400780248,-166.7845417821461,-13.66606839238448,-169.49409512291578,-166.87053659545356,-151.6639634896128,11/14,6.8172e-10
VII,2.0,21.10973867710331,-67.42007371319848,-4.860735507371736,-68.89719526335999,-67.70678577103781,-61.58448920488095,11/13,8.1087e-10
VII,3.0,31.66460801560496,-110.41839468334659,-103.07519609681194,-112.15229255323996,-109.87140962270315,58.684914048567116,15/12,3.9503e-10
XIV,1.5,12.552168,-93.20642590833818,-9.346084572481047,-94.25471130441034,-92.93198885591599,-83.61056862686338,14/14,4.1606e-10
XIV,2.0,16.736224,-25.97249583748437,-2.6436337704163546,-26.38136244776615,-25.911772966921355,-23.39861926942693,13/13,9.8316e-10
XIV,3.0,25.104336,-1.7854974573689535,-0.632589261632157,-1.8155258664351763,-1.7004367422909283,-1.438245972272378,13/13,9.8105e-10
XIV,4.0,33.472448,-201.61132764432278,-199.51262822941564,-204.3641563606706,-200.6676958954686,,16/13,8.5947e-10
