phase,scale,legacy_folded_deltaE_kJ_mol_H2O,current_coupled_deltaE_kJ_mol_H2O,current_minus_legacy_pbc_kJ_mol_H2O,current_minus_legacy_zero_d_kJ_mol_H2O,current_pbc_zero_d_scc_steps
Ih,1.5,45.21483706967367,-12.252406589814962,-57.087567078009386,0.3796765814543765,13/14
Ih,2.0,47.74221798673091,-3.007665202981998,-50.312058917102426,0.43782427261048235,13/13
Ih,3.0,-0.2160224776673552,-0.7114980476863493,-0.06294055688494535,0.4325350131589224,13/13
Ih,4.0,-0.0803359807945244,-0.27623944622614727,0.23554877018876483,0.43145223562038765,13/13
VII,1.5,62.134583074402904,-166.7845417821461,-228.41634000373907,0.502784852809959,11/14
VII,2.0,51.20086022039402,-67.42007371319848,-118.07908123392833,0.541852699639294,11/13
VII,3.0,0.0737316314433981,-110.41839468334659,-109.9475820285065,0.5445442862959264,15/12
XIV,1.5,55.29485873501432,-93.20642590833818,-148.03264787934535,0.4686367640320384,14/14
XIV,2.0,51.77488705493911,-25.97249583748437,-77.2452864124975,0.5020964799259741,13/13
XIV,3.0,-0.287274235001963,-1.7854974573689535,-1.0015154978295497,0.49670772453744066,13/13
XIV,4.0,-0.1100399838353358,-201.61132764432278,-201.00544917482344,0.4958384856391466,16/13
