mesh_n,mesh_id,mesh_label,frontier_me_kjmol_h2o,frontier_mae_kjmol_h2o,frontier_rmse_kjmol_h2o,frontier_maxae_kjmol_h2o,newly_frozen_phases,active_phases_after_mesh
1,k111,Gamma,-155.6376274690044,163.83446533680168,218.1677619611917,496.86308190838827,,12
2,k222,2x2x2,-88.91214955229283,90.89221860466876,126.90015613492804,304.33076783898815,,12
3,k333,3x3x3,-36.42999092131064,36.42999092131064,56.94208038367073,154.51875608726795,,12
4,k444,4x4x4,-13.705991642359379,13.705991642359379,21.55455023151072,64.05988257792312,,12
5,k555,5x5x5,-6.618849918709423,6.618849918709423,8.30358048014308,21.915714962810508,,12
6,k666,6x6x6,-4.626545079806297,4.626545079806297,4.9570438719695105,6.639075897100823,III;IV;IX;XIII,8
7,k777,7x7x7,-4.090827497531946,4.090827497531946,4.48825799049251,6.477974213481016,II;VI;XV;XVII,4
8,k888,8x8x8,-3.9488085889305715,3.9488085889305715,4.437564939694965,6.477974213481016,VIII,3
9,k999,9x9x9,-3.9111076335749577,3.9111076335749577,4.4315511236124125,6.477974213481016,XI;XIV,1
10,k101010,10x10x10,-3.9018676183765613,3.9036998354778194,4.431458448771283,6.477974213481016,,1
11,k111111,11x11x11,-3.8992729433867144,3.906294510467666,4.4314740007519715,6.477974213481016,VII,0
