phase,element,N,sum_hartree,mean_hartree,min_hartree,max_hartree
Ih,H,24,-13.732224970463530,-0.572176040435980,-0.573024480584502,-0.569821904884536
Ih,O,12,-905.147608888336435,-75.428967407361370,-75.432777717340443,-75.425694938776971
II,H,24,-13.608748401526695,-0.567031183396946,-0.568204208276985,-0.564957233183244
II,O,12,-905.661440613087052,-75.471786717757254,-75.476250415216398,-75.467315864330530
III,H,24,-13.657400093156168,-0.569058337214840,-0.571041364638651,-0.567947192410654
III,O,12,-905.464058932468220,-75.455338244372356,-75.457806481909003,-75.452895230988176
IV,H,32,-18.176353426626203,-0.568011044582069,-0.571962465481376,-0.556016727977735
IV,O,16,-1206.761278500895287,-75.422579906305955,-75.426566882301231,-75.419017273903918
VI,H,20,-11.297225849844180,-0.564861292492209,-0.566995546720038,-0.561776697253051
VI,O,10,-754.893578793875122,-75.489357879387512,-75.495755238429339,-75.484937847502124
VII,H,24,-13.776666287526012,-0.574027761980251,-0.574045595329684,-0.574015915705204
VII,O,12,-907.351338558693669,-75.612611546557801,-75.615345623536115,-75.609858227885468
VIII,H,16,-9.062354207698061,-0.566397137981129,-0.566397391468786,-0.566396739264189
VIII,O,8,-604.216451612933611,-75.527056451616701,-75.529318073933595,-75.524795209768087
IX,H,24,-13.653178315341389,-0.568882429805891,-0.570022764962821,-0.567275360397413
IX,O,12,-905.392434422851352,-75.449369535237608,-75.452686096128730,-75.445984512596880
XI,H,16,-9.094783437208385,-0.568423964825524,-0.569144333189289,-0.567746159891919
XI,O,8,-604.403688037840993,-75.550461004730124,-75.556571196539281,-75.544511113850447
XIII,H,56,-31.791645172005257,-0.567707949500094,-0.570191302286760,-0.565787689205896
XIII,O,28,-2112.085758251897914,-75.431634223282074,-75.437463113841204,-75.424991200035294
XIV,H,24,-13.537680558314472,-0.564070023263103,-0.565967152545312,-0.562539357095490
XIV,O,12,-906.950821028146038,-75.579235085678832,-75.586348259944231,-75.574512572637360
XV,H,20,-11.296162906469842,-0.564808145323492,-0.567218392421033,-0.561952878824717
XV,O,10,-754.898516501618360,-75.489851650161839,-75.494669885298620,-75.482088300332961
XVII,H,12,-6.815894386251932,-0.567991198854328,-0.568515810430429,-0.567347943445313
XVII,O,6,-452.881089138064453,-75.480181523010742,-75.482828762741534,-75.477547286182684
