phase,mesh_n,relative_kj_mol_per_water,dmc_reference_kj_mol_per_water,error_kj_mol_per_water,absolute_error_kj_mol_per_water,absolute_adjacent_delta_kj_mol_per_water,phase_converged
II,5,-1.751209197801,0.310000,-2.061209197801,2.061209197801,0.761935134585,false
III,5,1.637489090846,1.250000,0.387489090846,0.387489090846,0.373452947874,false
IV,6,1.278275951726,3.830000,-2.551724048274,2.551724048274,0.008519935501,true
VI,6,0.630350366028,1.780000,-1.149649633972,1.149649633972,0.175031885979,false
VII,8,-0.441453685894,4.990000,-5.431453685894,5.431453685894,,false
VIII,8,1.810235969010,4.230000,-2.419764030990,2.419764030990,,false
IX,6,-0.149213410206,0.600000,-0.749213410206,0.749213410206,0.017981459058,true
XI,6,-0.054671152098,0.160000,-0.214671152098,0.214671152098,2.506838653929,false
XIII,5,0.056163127084,2.120000,-2.063836872916,2.063836872916,0.066904493447,true
XIV,6,-1.064873294721,1.700000,-2.764873294721,2.764873294721,4.397346124796,false
XV,6,0.615966711167,1.740000,-1.124033288833,1.124033288833,0.179353604087,false
XVII,6,0.657455557145,1.750000,-1.092544442855,1.092544442855,0.138801181635,false
