phase,n_H2O,cp2k_energy_hartree,save_tblite_cli_energy_hartree,cp2k_minus_cli_hartree,abs_difference_hartree,abs_difference_per_H2O_hartree,completed,tolerance_hartree,tolerance_exceeded,cli_returncode
Ih,12,-918.879833846108795,-918.879833858799998,1.269120275537716e-08,1.269120275537716e-08,1.057600229614764e-09,True,1.00000000e-06,False,0
II,12,-919.270189000370806,-919.270189014613834,1.424302809027722e-08,1.424302809027722e-08,1.186919007523102e-09,True,1.00000000e-06,False,0
III,12,-919.121459012083051,-919.121459025624404,1.354135292785941e-08,1.354135292785941e-08,1.128446077321617e-09,True,1.00000000e-06,False,0
IV,16,-1224.937631910127038,-1224.937631927521352,1.739431354508270e-08,1.739431354508270e-08,1.087144596567668e-09,True,1.00000000e-06,False,0
VI,10,-766.190804631123797,-766.190804643719162,1.259536475117784e-08,1.259536475117784e-08,1.259536475117784e-09,True,1.00000000e-06,False,0
VII,12,-921.128004826023130,-921.128004846219710,2.019658040808281e-08,2.019658040808281e-08,1.683048367340234e-09,True,1.00000000e-06,False,0
VIII,8,-613.278805808641891,-613.278805820631646,1.198975496663479e-08,1.198975496663479e-08,1.498719370829349e-09,True,1.00000000e-06,False,0
IX,12,-919.045612724772241,-919.045612738192631,1.342039013252361e-08,1.342039013252361e-08,1.118365844376967e-09,True,1.00000000e-06,False,0
XI,8,-613.498471463314900,-613.498471475049541,1.173464170278748e-08,1.173464170278748e-08,1.466830212848436e-09,True,1.00000000e-06,False,0
XIII,28,-2143.877403393411441,-2143.877403423903161,3.049171937163919e-08,3.049171937163919e-08,1.088989977558543e-09,True,1.00000000e-06,False,0
XIV,12,-920.488501567940375,-920.488501586460416,1.852004061220214e-08,1.852004061220214e-08,1.543336717683512e-09,True,1.00000000e-06,False,0
XV,10,-766.194679395531466,-766.194679408088177,1.255671122635249e-08,1.255671122635249e-08,1.255671122635249e-09,True,1.00000000e-06,False,0
XVII,6,-459.696983517000149,-459.696983524316465,7.316316441574600e-09,7.316316441574600e-09,1.219386073595767e-09,True,1.00000000e-06,False,0
