mesh_n,mesh_id,mesh_label,relative_energy_kjmol_h2o,dmc_reference_kjmol_h2o,error_kjmol_h2o,absolute_adjacent_delta_kjmol_h2o
1,k111,Gamma,-491.87308190838826,4.990000000000002,-496.86308190838827,
2,k222,2x2x2,-299.34076783898814,4.990000000000002,-304.33076783898815,192.53231406940012
3,k333,3x3x3,-149.52875608726794,4.990000000000002,-154.51875608726795,149.8120117517202
4,k444,4x4x4,-59.06988257792312,4.990000000000002,-64.05988257792312,90.45887350934481
5,k555,5x5x5,-16.925714962810506,4.990000000000002,-21.915714962810508,42.14416761511261
6,k666,6x6x6,-1.649075897100821,4.990000000000002,-6.639075897100823,15.276639065709684
7,k777,7x7x7,3.1101424876994876,4.990000000000002,-1.8798575123005143,4.759218384800309
8,k888,8x8x8,4.496367037729511,4.990000000000002,-0.4936329622704907,1.3862245500300237
9,k999,9x9x9,4.890113120226789,4.990000000000002,-0.09988687977321309,0.3937460824972776
10,k101010,10x10x10,5.00099330260755,4.990000000000002,0.010993302607547939,0.11088018238076103
11,k111111,11x11x11,5.032129402485711,4.990000000000002,0.042129402485708844,0.031136099878160906
