phase,element,N,sum_hartree,mean_hartree,min_hartree,max_hartree
Ih,H,24,-13.732153317668773,-0.572173054902866,-0.573017817204596,-0.569828080029227
Ih,O,12,-905.147709977987802,-75.428975831498988,-75.432780536200255,-75.425713578344471
II,H,24,-13.608718663777715,-0.567029944324071,-0.568205067227163,-0.564956353659983
II,O,12,-905.661483283752659,-75.471790273646050,-75.476257236560855,-75.467316161282483
III,H,24,-13.658033074691547,-0.569084711445481,-0.571061835847053,-0.568019944551074
III,O,12,-905.463086112928977,-75.455257176077410,-75.457997511273973,-75.452671150654879
IV,H,32,-18.176464872627580,-0.568014527269612,-0.571949635170424,-0.556036849031462
IV,O,16,-1206.761050755472297,-75.422565672217019,-75.426646789037207,-75.419015841912497
VI,H,20,-11.298142982204663,-0.564907149110233,-0.567042481592571,-0.561821559599413
VI,O,10,-754.891948999626152,-75.489194899962612,-75.495916013162400,-75.484454893197451
VII,H,24,-13.777899413425908,-0.574079142226079,-0.574079373779726,-0.574078899394627
VII,O,12,-907.350098643717274,-75.612508220309778,-75.615088700572329,-75.609927741633200
VIII,H,16,-9.062352231582613,-0.566397014473913,-0.566397018966839,-0.566397010460098
VIII,O,8,-604.216453966494100,-75.527056745811763,-75.529318172720593,-75.524795314687836
IX,H,24,-13.653146792718838,-0.568881116363285,-0.570018279367391,-0.567284059752599
IX,O,12,-905.392490444234454,-75.449374203686205,-75.452701263349311,-75.445984891220846
XI,H,16,-9.094890338900360,-0.568430646181272,-0.569153363971125,-0.567855497646162
XI,O,8,-604.403537592768544,-75.550442199096068,-75.556581877373645,-75.544304777112657
XIII,H,56,-31.791601209415372,-0.567707164453846,-0.570184196362428,-0.565790132960337
XIII,O,28,-2112.085822775628458,-75.431636527701016,-75.437463199143210,-75.424994339670633
XIV,H,24,-13.537647522077535,-0.564068646753231,-0.565958653972709,-0.562540586233747
XIV,O,12,-906.950853937106558,-75.579237828092218,-75.586348638369159,-75.574513954126630
XV,H,20,-11.296148894698518,-0.564807444734926,-0.567217730940636,-0.561953308273604
XV,O,10,-754.898531744070738,-75.489853174407074,-75.494668577390556,-75.482092218737250
XVII,H,12,-6.815855973029026,-0.567987997752419,-0.568505845096630,-0.567356183381189
XVII,O,6,-452.881139669991512,-75.480189944998585,-75.482841411500942,-75.477547373867921
