phase,gxtb_protocol_id,cli_protocol_id,n_H2O,cp2k_energy_hartree,save_tblite_cli_energy_hartree,cp2k_minus_cli_hartree,abs_difference_hartree,abs_difference_per_H2O_hartree,completed,tolerance_hartree,tolerance_exceeded,cli_returncode,cp2k_hash_validated,cli_hash_validated
Ih,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,12,-918.879863284494149,-918.879863295656719,1.116256953537231e-08,1.116256953537231e-08,9.302141279476928e-10,True,1.00000000e-06,False,0,True,True
II,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,12,-919.270201933062026,-919.270201947530381,1.446835540264146e-08,1.446835540264146e-08,1.205696283553455e-09,True,1.00000000e-06,False,0,True,True
III,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,12,-919.121119174190426,-919.121119187620366,1.342993982689222e-08,1.342993982689222e-08,1.119161652241019e-09,True,1.00000000e-06,False,0,True,True
IV,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,16,-1224.937515610868559,-1224.937515628099845,1.723128661978990e-08,1.723128661978990e-08,1.076955413736869e-09,True,1.00000000e-06,False,0,True,True
VI,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,10,-766.190091970172489,-766.190091981830847,1.165835783467628e-08,1.165835783467628e-08,1.165835783467628e-09,True,1.00000000e-06,False,0,True,True
VII,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,12,-921.127998037365501,-921.127998057143145,1.977764441107865e-08,1.977764441107865e-08,1.648137034256554e-09,True,1.00000000e-06,False,0,True,True
VIII,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,8,-613.278806186415522,-613.278806198076722,1.166120000561932e-08,1.166120000561932e-08,1.457650000702415e-09,True,1.00000000e-06,False,0,True,True
IX,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,12,-919.045637223852054,-919.045637236953326,1.310127117903903e-08,1.310127117903903e-08,1.091772598253253e-09,True,1.00000000e-06,False,0,True,True
XI,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,8,-613.498427920132372,-613.498427931668857,1.153648554463871e-08,1.153648554463871e-08,1.442060693079839e-09,True,1.00000000e-06,False,0,True,True
XIII,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,28,-2143.877423955348604,-2143.877423985043606,2.969500201288611e-08,2.969500201288611e-08,1.060535786174504e-09,True,1.00000000e-06,False,0,True,True
XIV,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,12,-920.488501440639652,-920.488501459184135,1.854448328231229e-08,1.854448328231229e-08,1.545373606859357e-09,True,1.00000000e-06,False,0,True,True
XV,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,10,-766.194680627027651,-766.194680638769341,1.174169028672623e-08,1.174169028672623e-08,1.174169028672623e-09,True,1.00000000e-06,False,0,True,True
XVII,dmc13-gxtb-spglib-reduced-v1,dmc13-gxtb-spglib-gamma-cli-v1,6,-459.696995635640917,-459.696995643020557,7.379640010185540e-09,7.379640010185540e-09,1.229940001697590e-09,True,1.00000000e-06,False,0,True,True
