mesh,mesh_label,method,phase,DMC_relative_kJmol,relative_kJmol,error_kJmol
gamma,Gamma,GFN1-xTB,Ih,0.000000,0.000000,0.000000
gamma,Gamma,GFN1-xTB,II,0.310000,-6.854314,-7.164314
gamma,Gamma,GFN1-xTB,III,1.250000,-3.218891,-4.468891
gamma,Gamma,GFN1-xTB,IV,3.830000,-3.831760,-7.661760
gamma,Gamma,GFN1-xTB,VI,1.780000,-8.690050,-10.470050
gamma,Gamma,GFN1-xTB,VII,4.990000,12.039017,7.049017
gamma,Gamma,GFN1-xTB,VIII,4.230000,-3.877216,-8.107216
gamma,Gamma,GFN1-xTB,IX,0.600000,-4.712520,-5.312520
gamma,Gamma,GFN1-xTB,XI,0.160000,1.564234,1.404234
gamma,Gamma,GFN1-xTB,XIII,2.120000,-6.409026,-8.529026
gamma,Gamma,GFN1-xTB,XIV,1.700000,-3.504848,-5.204848
gamma,Gamma,GFN1-xTB,XV,1.740000,-8.657260,-10.397260
gamma,Gamma,GFN1-xTB,XVII,1.750000,-2.816356,-4.566356
gamma,Gamma,GFN2-xTB,Ih,0.000000,0.000000,0.000000
gamma,Gamma,GFN2-xTB,II,0.310000,-2.684806,-2.994806
gamma,Gamma,GFN2-xTB,III,1.250000,-1.289253,-2.539253
gamma,Gamma,GFN2-xTB,IV,3.830000,-0.608035,-4.438035
gamma,Gamma,GFN2-xTB,VI,1.780000,-1.121663,-2.901663
gamma,Gamma,GFN2-xTB,VII,4.990000,38.452413,33.462413
gamma,Gamma,GFN2-xTB,VIII,4.230000,7.431957,3.201957
gamma,Gamma,GFN2-xTB,IX,0.600000,-1.984338,-2.584338
gamma,Gamma,GFN2-xTB,XI,0.160000,2.410911,2.250911
gamma,Gamma,GFN2-xTB,XIII,2.120000,-4.368316,-6.488316
gamma,Gamma,GFN2-xTB,XIV,1.700000,1.660837,-0.039163
gamma,Gamma,GFN2-xTB,XV,1.740000,-1.080590,-2.820590
gamma,Gamma,GFN2-xTB,XVII,1.750000,-1.475324,-3.225324
gamma,Gamma,g-xTB,Ih,0.000000,0.000000,0.000000
gamma,Gamma,g-xTB,II,0.310000,-85.402832,-85.712832
gamma,Gamma,g-xTB,III,1.250000,-52.784771,-54.034771
gamma,Gamma,g-xTB,IV,3.830000,38.666297,34.836297
gamma,Gamma,g-xTB,VI,1.780000,-119.951876,-121.731876
gamma,Gamma,g-xTB,VII,4.990000,-491.873082,-496.863082
gamma,Gamma,g-xTB,VIII,4.230000,-227.181420,-231.411420
gamma,Gamma,g-xTB,IX,0.600000,-36.269951,-36.869951
gamma,Gamma,g-xTB,XI,0.160000,-299.258517,-299.418517
gamma,Gamma,g-xTB,XIII,2.120000,16.464731,14.344731
gamma,Gamma,g-xTB,XIV,1.700000,-351.956575,-353.656575
gamma,Gamma,g-xTB,XV,1.740000,-121.156627,-122.896627
gamma,Gamma,g-xTB,XVII,1.750000,-112.486904,-114.236904
k111,1x1x1,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k111,1x1x1,GFN1-xTB,II,0.310000,-6.854314,-7.164314
k111,1x1x1,GFN1-xTB,III,1.250000,-3.218891,-4.468891
k111,1x1x1,GFN1-xTB,IV,3.830000,-3.831760,-7.661760
k111,1x1x1,GFN1-xTB,VI,1.780000,-8.690050,-10.470050
k111,1x1x1,GFN1-xTB,VII,4.990000,12.039017,7.049017
k111,1x1x1,GFN1-xTB,VIII,4.230000,-3.877216,-8.107216
k111,1x1x1,GFN1-xTB,IX,0.600000,-4.712520,-5.312520
k111,1x1x1,GFN1-xTB,XI,0.160000,1.564234,1.404234
k111,1x1x1,GFN1-xTB,XIII,2.120000,-6.409026,-8.529026
k111,1x1x1,GFN1-xTB,XIV,1.700000,-3.504848,-5.204848
k111,1x1x1,GFN1-xTB,XV,1.740000,-8.657260,-10.397260
k111,1x1x1,GFN1-xTB,XVII,1.750000,-2.816356,-4.566356
k111,1x1x1,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k111,1x1x1,GFN2-xTB,II,0.310000,-2.684806,-2.994806
k111,1x1x1,GFN2-xTB,III,1.250000,-1.289253,-2.539253
k111,1x1x1,GFN2-xTB,IV,3.830000,-0.608035,-4.438035
k111,1x1x1,GFN2-xTB,VI,1.780000,-1.121663,-2.901663
k111,1x1x1,GFN2-xTB,VII,4.990000,38.452413,33.462413
k111,1x1x1,GFN2-xTB,VIII,4.230000,7.431957,3.201957
k111,1x1x1,GFN2-xTB,IX,0.600000,-1.984338,-2.584338
k111,1x1x1,GFN2-xTB,XI,0.160000,2.410911,2.250911
k111,1x1x1,GFN2-xTB,XIII,2.120000,-4.368316,-6.488316
k111,1x1x1,GFN2-xTB,XIV,1.700000,1.660837,-0.039163
k111,1x1x1,GFN2-xTB,XV,1.740000,-1.080590,-2.820590
k111,1x1x1,GFN2-xTB,XVII,1.750000,-1.475324,-3.225324
k111,1x1x1,g-xTB,Ih,0.000000,0.000000,0.000000
k111,1x1x1,g-xTB,II,0.310000,-85.402832,-85.712832
k111,1x1x1,g-xTB,III,1.250000,-52.784771,-54.034771
k111,1x1x1,g-xTB,IV,3.830000,38.666297,34.836297
k111,1x1x1,g-xTB,VI,1.780000,-119.951876,-121.731876
k111,1x1x1,g-xTB,VII,4.990000,-491.873082,-496.863082
k111,1x1x1,g-xTB,VIII,4.230000,-227.181420,-231.411420
k111,1x1x1,g-xTB,IX,0.600000,-36.269952,-36.869952
k111,1x1x1,g-xTB,XI,0.160000,-299.258518,-299.418518
k111,1x1x1,g-xTB,XIII,2.120000,16.464731,14.344731
k111,1x1x1,g-xTB,XIV,1.700000,-351.956575,-353.656575
k111,1x1x1,g-xTB,XV,1.740000,-121.156628,-122.896628
k111,1x1x1,g-xTB,XVII,1.750000,-112.486904,-114.236904
k222,2x2x2,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k222,2x2x2,GFN1-xTB,II,0.310000,-7.555154,-7.865154
k222,2x2x2,GFN1-xTB,III,1.250000,-3.596931,-4.846931
k222,2x2x2,GFN1-xTB,IV,3.830000,-3.822092,-7.652092
k222,2x2x2,GFN1-xTB,VI,1.780000,-10.133103,-11.913103
k222,2x2x2,GFN1-xTB,VII,4.990000,-3.453707,-8.443707
k222,2x2x2,GFN1-xTB,VIII,4.230000,-9.356279,-13.586279
k222,2x2x2,GFN1-xTB,IX,0.600000,-5.016697,-5.616697
k222,2x2x2,GFN1-xTB,XI,0.160000,-1.328959,-1.488959
k222,2x2x2,GFN1-xTB,XIII,2.120000,-6.265057,-8.385057
k222,2x2x2,GFN1-xTB,XIV,1.700000,-7.072902,-8.772902
k222,2x2x2,GFN1-xTB,XV,1.740000,-10.022009,-11.762009
k222,2x2x2,GFN1-xTB,XVII,1.750000,-3.399164,-5.149164
k222,2x2x2,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k222,2x2x2,GFN2-xTB,II,0.310000,-3.408629,-3.718629
k222,2x2x2,GFN2-xTB,III,1.250000,-1.987209,-3.237209
k222,2x2x2,GFN2-xTB,IV,3.830000,-0.638954,-4.468954
k222,2x2x2,GFN2-xTB,VI,1.780000,-2.869742,-4.649742
k222,2x2x2,GFN2-xTB,VII,4.990000,8.976317,3.986317
k222,2x2x2,GFN2-xTB,VIII,4.230000,4.612986,0.382986
k222,2x2x2,GFN2-xTB,IX,0.600000,-2.687479,-3.287479
k222,2x2x2,GFN2-xTB,XI,0.160000,-0.411002,-0.571002
k222,2x2x2,GFN2-xTB,XIII,2.120000,-4.226319,-6.346319
k222,2x2x2,GFN2-xTB,XIV,1.700000,-1.217244,-2.917244
k222,2x2x2,GFN2-xTB,XV,1.740000,-2.700245,-4.440245
k222,2x2x2,GFN2-xTB,XVII,1.750000,-2.365074,-4.115074
k222,2x2x2,g-xTB,Ih,0.000000,0.000000,0.000000
k222,2x2x2,g-xTB,II,0.310000,-43.344140,-43.654140
k222,2x2x2,g-xTB,III,1.250000,-24.537683,-25.787683
k222,2x2x2,g-xTB,IV,3.830000,13.420359,9.590359
k222,2x2x2,g-xTB,VI,1.780000,-62.929118,-64.709118
k222,2x2x2,g-xTB,VII,4.990000,-299.340768,-304.330768
k222,2x2x2,g-xTB,VIII,4.230000,-122.041970,-126.271970
k222,2x2x2,g-xTB,IX,0.600000,-17.547364,-18.147364
k222,2x2x2,g-xTB,XI,0.160000,-166.331826,-166.491826
k222,2x2x2,g-xTB,XIII,2.120000,4.410056,2.290056
k222,2x2x2,g-xTB,XIV,1.700000,-203.271478,-204.971478
k222,2x2x2,g-xTB,XV,1.740000,-63.593503,-65.333503
k222,2x2x2,g-xTB,XVII,1.750000,-57.378358,-59.128358
k333,3x3x3,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k333,3x3x3,GFN1-xTB,II,0.310000,-7.555456,-7.865456
k333,3x3x3,GFN1-xTB,III,1.250000,-3.596644,-4.846644
k333,3x3x3,GFN1-xTB,IV,3.830000,-3.822365,-7.652365
k333,3x3x3,GFN1-xTB,VI,1.780000,-10.135947,-11.915947
k333,3x3x3,GFN1-xTB,VII,4.990000,-3.921133,-8.911133
k333,3x3x3,GFN1-xTB,VIII,4.230000,-9.433936,-13.663936
k333,3x3x3,GFN1-xTB,IX,0.600000,-5.016884,-5.616884
k333,3x3x3,GFN1-xTB,XI,0.160000,-1.362716,-1.522716
k333,3x3x3,GFN1-xTB,XIII,2.120000,-6.265234,-8.385234
k333,3x3x3,GFN1-xTB,XIV,1.700000,-7.067957,-8.767957
