mesh,mesh_label,nk_total,method,N,ME,MAE,RMSE,MaxAE
gamma,Gamma,1,GFN1-xTB,12,-5.285749,6.694624,7.153219,10.470050
gamma,Gamma,1,GFN2-xTB,12,0.906983,5.578897,10.188726,33.462413
gamma,Gamma,1,g-xTB,12,-155.637627,163.834465,218.167762,496.863082
k111,1x1x1,1,GFN1-xTB,12,-5.285749,6.694624,7.153219,10.470050
k111,1x1x1,1,GFN2-xTB,12,0.906983,5.578897,10.188726,33.462413
k111,1x1x1,1,g-xTB,12,-155.637627,163.834465,218.167762,496.863082
k222,2x2x2,8,GFN1-xTB,12,-7.956838,7.956838,8.600432,13.586279
k222,2x2x2,8,GFN2-xTB,12,-2.781883,3.510100,3.856877,6.346319
k222,2x2x2,8,g-xTB,12,-88.912150,90.892219,126.900156,304.330768
k333,3x3x3,27,GFN1-xTB,12,-8.005255,8.005255,8.650658,13.663936
k333,3x3x3,27,GFN2-xTB,12,-2.837920,3.462919,3.812981,6.346296
k333,3x3x3,27,g-xTB,12,-36.429991,36.429991,56.942080,154.518756
k444,4x4x4,64,GFN1-xTB,12,-8.006494,8.006494,8.651956,13.664182
k444,4x4x4,64,GFN2-xTB,12,-2.839516,3.461424,3.811683,6.346296
k444,4x4x4,64,g-xTB,12,-13.705992,13.705992,21.554550,64.059883
k555,5x5x5,125,GFN1-xTB,12,-8.006485,8.006485,8.651947,13.664182
k555,5x5x5,125,GFN2-xTB,12,-2.839590,3.461353,3.811621,6.346296
k555,5x5x5,125,g-xTB,12,-6.618850,6.618850,8.303580,21.915715
k666,6x6x6,216,g-xTB,12,-4.626545,4.626545,4.957044,6.639076
