method,method_label,phase,status,smallest_required_mesh,mesh_label,mesh_n,nk_total,previous_mesh,relative_energy_kJmol_per_H2O,DMC_relative_kJmol_per_H2O,error_kJmol_per_H2O,previous_relative_energy_kJmol_per_H2O,last_delta_kJmol_per_H2O,absolute_last_delta_kJmol_per_H2O,parity_direction,next_required_mesh
GFN1,GFN1-xTB,II,k-point-converged,k333,3x3x3,3,27,k222,-7.555456360831267,0.3100000000000023,-7.865456360831269,-7.555153674867466,-0.0003026859638008972,0.0003026859638008972,even->odd,
GFN1,GFN1-xTB,III,k-point-converged,k333,3x3x3,3,27,k222,-3.5966443740895326,1.25,-4.846644374089532,-3.596930796983404,0.00028642289387148523,0.00028642289387148523,even->odd,
GFN1,GFN1-xTB,IV,k-point-converged,k222,2x2x2,2,8,k111,-3.8220915947281657,3.8300000000000054,-7.652091594728171,-3.8317597634922915,0.009668168764125795,0.009668168764125795,odd->even,
GFN1,GFN1-xTB,VI,k-point-converged,k333,3x3x3,3,27,k222,-10.135947474338835,1.7800000000000011,-11.915947474338836,-10.133102844792683,-0.0028446295461517224,0.0028446295461517224,even->odd,
GFN1,GFN1-xTB,VII,k-point-converged,k444,4x4x4,4,64,k333,-3.9351657986685096,4.990000000000002,-8.925165798668512,-3.9211326373517523,-0.014033161316757248,0.014033161316757248,odd->even,
GFN1,GFN1-xTB,VIII,k-point-converged,k444,4x4x4,4,64,k333,-9.434182131334765,4.230000000000004,-13.664182131334769,-9.43393612458675,-0.00024600674801433797,0.00024600674801433797,odd->even,
GFN1,GFN1-xTB,IX,k-point-converged,k333,3x3x3,3,27,k222,-5.016884313931314,0.6000000000000014,-5.616884313931315,-5.016697393207561,-0.00018692072375259272,0.00018692072375259272,even->odd,
GFN1,GFN1-xTB,XI,k-point-converged,k333,3x3x3,3,27,k222,-1.3627156249384371,0.1600000000000037,-1.5227156249384408,-1.3289587913792344,-0.03375683355920267,0.03375683355920267,even->odd,
GFN1,GFN1-xTB,XIII,k-point-converged,k333,3x3x3,3,27,k222,-6.265233626591174,2.1200000000000045,-8.385233626591178,-6.265056722292781,-0.0001769042983932323,0.0001769042983932323,even->odd,
GFN1,GFN1-xTB,XIV,k-point-converged,k333,3x3x3,3,27,k222,-7.067956545570849,1.7000000000000028,-8.76795654557085,-7.072901790087433,0.004945244516584069,0.004945244516584069,even->odd,
GFN1,GFN1-xTB,XV,k-point-converged,k333,3x3x3,3,27,k222,-10.024885726013448,1.740000000000002,-11.76488572601345,-10.022008948402684,-0.002876777610763881,0.002876777610763881,even->odd,
GFN1,GFN1-xTB,XVII,k-point-converged,k333,3x3x3,3,27,k222,-3.399900756356062,1.75,-5.149900756356062,-3.399163759019266,-0.000736997336796108,0.000736997336796108,even->odd,
GFN2,GFN2-xTB,II,k-point-converged,k333,3x3x3,3,27,k222,-3.410022445717208,0.3100000000000023,-3.7200224457172104,-3.4086293286443845,-0.0013931170728236353,0.0013931170728236353,even->odd,
GFN2,GFN2-xTB,III,k-point-converged,k333,3x3x3,3,27,k222,-1.988166893367317,1.25,-3.2381668933673167,-1.9872087353490848,-0.0009581580182320693,0.0009581580182320693,even->odd,
GFN2,GFN2-xTB,IV,k-point-converged,k222,2x2x2,2,8,k111,-0.638954283931844,3.8300000000000054,-4.46895428393185,-0.6080351253430145,-0.030919158588829432,0.030919158588829432,odd->even,
GFN2,GFN2-xTB,VI,k-point-converged,k333,3x3x3,3,27,k222,-2.8751391821611048,1.7800000000000011,-4.655139182161106,-2.8697419337324703,-0.005397248428634427,0.005397248428634427,even->odd,
GFN2,GFN2-xTB,VII,k-point-converged,k444,4x4x4,4,64,k333,8.380048665073232,4.990000000000002,3.3900486650732304,8.397900066689504,-0.01785140161627119,0.01785140161627119,odd->even,
GFN2,GFN2-xTB,VIII,k-point-converged,k333,3x3x3,3,27,k222,4.572097020761163,4.230000000000004,0.3420970207611589,4.6129855128270645,-0.040888492065901616,0.040888492065901616,even->odd,
GFN2,GFN2-xTB,IX,k-point-converged,k333,3x3x3,3,27,k222,-2.6885418333970876,0.6000000000000014,-3.288541833397089,-2.68747939582271,-0.0010624375743777392,0.0010624375743777392,even->odd,
