mesh,mesh_label,method,reference_variant,N,ME,MAE,RMSE,MaxAE
gamma,Gamma,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-5.285749,6.694624,7.153219,10.470050
gamma,Gamma,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-5.284916,6.695458,7.153383,10.470050
gamma,Gamma,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,0.906983,5.578897,10.188726,33.462413
gamma,Gamma,GFN2-xTB,primary_explicit_relative_XI_0.15,12,0.907816,5.579731,10.188911,33.462413
gamma,Gamma,g-xTB,legacy_rounded_absolute_XI_0.16,12,-155.637627,163.834465,218.167762,496.863082
gamma,Gamma,g-xTB,primary_explicit_relative_XI_0.15,12,-155.636794,163.833632,218.166618,496.863082
k111,1x1x1,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-5.285749,6.694624,7.153219,10.470050
k111,1x1x1,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-5.284916,6.695458,7.153383,10.470050
k111,1x1x1,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,0.906983,5.578897,10.188726,33.462413
k111,1x1x1,GFN2-xTB,primary_explicit_relative_XI_0.15,12,0.907816,5.579731,10.188911,33.462413
k111,1x1x1,g-xTB,legacy_rounded_absolute_XI_0.16,12,-155.637627,163.834465,218.167762,496.863082
k111,1x1x1,g-xTB,primary_explicit_relative_XI_0.15,12,-155.636794,163.833632,218.166618,496.863082
k222,2x2x2,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-7.956838,7.956838,8.600432,13.586279
k222,2x2x2,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-7.956004,7.956004,8.600288,13.586279
k222,2x2x2,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.781883,3.510100,3.856877,6.346319
k222,2x2x2,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.781050,3.509267,3.856755,6.346319
k222,2x2x2,g-xTB,legacy_rounded_absolute_XI_0.16,12,-88.912150,90.892219,126.900156,304.330768
k222,2x2x2,g-xTB,primary_explicit_relative_XI_0.15,12,-88.911316,90.891385,126.899063,304.330768
k333,3x3x3,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-8.005255,8.005255,8.650658,13.663936
k333,3x3x3,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-8.004422,8.004422,8.650512,13.663936
k333,3x3x3,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.837920,3.462919,3.812981,6.346296
k333,3x3x3,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.837087,3.462086,3.812854,6.346296
k333,3x3x3,g-xTB,legacy_rounded_absolute_XI_0.16,12,-36.429991,36.429991,56.942080,154.518756
k333,3x3x3,g-xTB,primary_explicit_relative_XI_0.15,12,-36.429158,36.429158,56.941151,154.518756
k444,4x4x4,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-8.006494,8.006494,8.651956,13.664182
k444,4x4x4,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-8.005661,8.005661,8.651810,13.664182
k444,4x4x4,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.839516,3.461424,3.811683,6.346296
k444,4x4x4,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.838683,3.460591,3.811556,6.346296
k444,4x4x4,g-xTB,legacy_rounded_absolute_XI_0.16,12,-13.705992,13.705992,21.554550,64.059883
k444,4x4x4,g-xTB,primary_explicit_relative_XI_0.15,12,-13.705158,13.705158,21.553936,64.059883
k555,5x5x5,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-8.006485,8.006485,8.651947,13.664182
k555,5x5x5,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-8.005652,8.005652,8.651800,13.664182
k555,5x5x5,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.839590,3.461353,3.811621,6.346296
k555,5x5x5,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.838756,3.460519,3.811493,6.346296
k555,5x5x5,g-xTB,legacy_rounded_absolute_XI_0.16,12,-6.618850,6.618850,8.303580,21.915715
k555,5x5x5,g-xTB,primary_explicit_relative_XI_0.15,12,-6.618017,6.618017,8.303222,21.915715
k666,6x6x6,g-xTB,legacy_rounded_absolute_XI_0.16,12,-4.626545,4.626545,4.957044,6.639076
k666,6x6x6,g-xTB,primary_explicit_relative_XI_0.15,12,-4.625712,4.625712,4.956865,6.639076
