mesh,mesh_label,method,phase,DMC_relative_kJmol,relative_kJmol,error_kJmol
gamma,Gamma,GFN1-xTB,Ih,0.000000,0.000000,0.000000
gamma,Gamma,GFN1-xTB,II,0.310000,-6.856952,-7.166952
gamma,Gamma,GFN1-xTB,III,1.250000,-3.222103,-4.472103
gamma,Gamma,GFN1-xTB,IV,3.830000,-3.834755,-7.664755
gamma,Gamma,GFN1-xTB,VI,1.780000,-8.695948,-10.475948
gamma,Gamma,GFN1-xTB,VII,4.990000,12.036379,7.046379
gamma,Gamma,GFN1-xTB,VIII,4.230000,-3.879854,-8.109854
gamma,Gamma,GFN1-xTB,IX,0.600000,-4.713146,-5.313146
gamma,Gamma,GFN1-xTB,XI,0.160000,1.561596,1.401596
gamma,Gamma,GFN1-xTB,XIII,2.120000,-6.411972,-8.531972
gamma,Gamma,GFN1-xTB,XIV,1.700000,-3.507486,-5.207486
gamma,Gamma,GFN1-xTB,XV,1.740000,-8.660529,-10.400529
gamma,Gamma,GFN1-xTB,XVII,1.750000,-2.819455,-4.569455
gamma,Gamma,GFN2-xTB,Ih,0.000000,0.000000,0.000000
gamma,Gamma,GFN2-xTB,II,0.310000,-1.786963,-2.096963
gamma,Gamma,GFN2-xTB,III,1.250000,-1.416046,-2.666046
gamma,Gamma,GFN2-xTB,IV,3.830000,0.773802,-3.056198
gamma,Gamma,GFN2-xTB,VI,1.780000,-1.196725,-2.976725
gamma,Gamma,GFN2-xTB,VII,4.990000,39.352751,34.362751
gamma,Gamma,GFN2-xTB,VIII,4.230000,7.752992,3.522992
gamma,Gamma,GFN2-xTB,IX,0.600000,-2.371202,-2.971202
gamma,Gamma,GFN2-xTB,XI,0.160000,2.458788,2.298788
gamma,Gamma,GFN2-xTB,XIII,2.120000,-4.814249,-6.934249
gamma,Gamma,GFN2-xTB,XIV,1.700000,1.387377,-0.312623
gamma,Gamma,GFN2-xTB,XV,1.740000,-1.144570,-2.884570
gamma,Gamma,GFN2-xTB,XVII,1.750000,1.935470,0.185470
k111,1x1x1,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k111,1x1x1,GFN1-xTB,II,0.310000,-6.856952,-7.166952
k111,1x1x1,GFN1-xTB,III,1.250000,-3.222103,-4.472103
k111,1x1x1,GFN1-xTB,IV,3.830000,-3.834755,-7.664755
k111,1x1x1,GFN1-xTB,VI,1.780000,-8.695948,-10.475948
k111,1x1x1,GFN1-xTB,VII,4.990000,12.036379,7.046379
k111,1x1x1,GFN1-xTB,VIII,4.230000,-3.879854,-8.109854
k111,1x1x1,GFN1-xTB,IX,0.600000,-4.713146,-5.313146
k111,1x1x1,GFN1-xTB,XI,0.160000,1.561596,1.401596
k111,1x1x1,GFN1-xTB,XIII,2.120000,-6.411972,-8.531972
k111,1x1x1,GFN1-xTB,XIV,1.700000,-3.507486,-5.207486
k111,1x1x1,GFN1-xTB,XV,1.740000,-8.660529,-10.400529
k111,1x1x1,GFN1-xTB,XVII,1.750000,-2.819455,-4.569455
k111,1x1x1,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k111,1x1x1,GFN2-xTB,II,0.310000,-1.786963,-2.096963
k111,1x1x1,GFN2-xTB,III,1.250000,-1.416046,-2.666046
k111,1x1x1,GFN2-xTB,IV,3.830000,0.773802,-3.056198
k111,1x1x1,GFN2-xTB,VI,1.780000,-1.196725,-2.976725
k111,1x1x1,GFN2-xTB,VII,4.990000,39.352751,34.362751
k111,1x1x1,GFN2-xTB,VIII,4.230000,7.752992,3.522992
k111,1x1x1,GFN2-xTB,IX,0.600000,-2.371202,-2.971202
k111,1x1x1,GFN2-xTB,XI,0.160000,2.458788,2.298788
k111,1x1x1,GFN2-xTB,XIII,2.120000,-4.814249,-6.934249
k111,1x1x1,GFN2-xTB,XIV,1.700000,1.387377,-0.312623
k111,1x1x1,GFN2-xTB,XV,1.740000,-1.144570,-2.884570
k111,1x1x1,GFN2-xTB,XVII,1.750000,1.935470,0.185470
k222,2x2x2,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k222,2x2x2,GFN1-xTB,II,0.310000,-7.557790,-7.867790
k222,2x2x2,GFN1-xTB,III,1.250000,-3.600140,-4.850140
k222,2x2x2,GFN1-xTB,IV,3.830000,-3.825085,-7.655085
k222,2x2x2,GFN1-xTB,VI,1.780000,-10.138975,-11.918975
k222,2x2x2,GFN1-xTB,VII,4.990000,-3.456343,-8.446343
k222,2x2x2,GFN1-xTB,VIII,4.230000,-9.358915,-13.588915
k222,2x2x2,GFN1-xTB,IX,0.600000,-5.017325,-5.617325
k222,2x2x2,GFN1-xTB,XI,0.160000,-1.331595,-1.491595
k222,2x2x2,GFN1-xTB,XIII,2.120000,-6.268001,-8.388001
k222,2x2x2,GFN1-xTB,XIV,1.700000,-7.075538,-8.775538
k222,2x2x2,GFN1-xTB,XV,1.740000,-10.025270,-11.765270
k222,2x2x2,GFN1-xTB,XVII,1.750000,-3.402259,-5.152259
k222,2x2x2,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k222,2x2x2,GFN2-xTB,II,0.310000,-2.508870,-2.818870
k222,2x2x2,GFN2-xTB,III,1.250000,-2.114790,-3.364790
k222,2x2x2,GFN2-xTB,IV,3.830000,0.742669,-3.087331
k222,2x2x2,GFN2-xTB,VI,1.780000,-2.938569,-4.718569
k222,2x2x2,GFN2-xTB,VII,4.990000,9.734315,4.744315
k222,2x2x2,GFN2-xTB,VIII,4.230000,4.922247,0.692247
k222,2x2x2,GFN2-xTB,IX,0.600000,-3.074106,-3.674106
k222,2x2x2,GFN2-xTB,XI,0.160000,-0.373982,-0.533982
k222,2x2x2,GFN2-xTB,XIII,2.120000,-4.672115,-6.792115
k222,2x2x2,GFN2-xTB,XIV,1.700000,-1.469063,-3.169063
k222,2x2x2,GFN2-xTB,XV,1.740000,-2.758262,-4.498262
k222,2x2x2,GFN2-xTB,XVII,1.750000,1.047331,-0.702669
k333,3x3x3,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k333,3x3x3,GFN1-xTB,II,0.310000,-7.558093,-7.868093
k333,3x3x3,GFN1-xTB,III,1.250000,-3.599853,-4.849853
k333,3x3x3,GFN1-xTB,IV,3.830000,-3.825358,-7.655358
k333,3x3x3,GFN1-xTB,VI,1.780000,-10.141820,-11.921820
k333,3x3x3,GFN1-xTB,VII,4.990000,-3.923769,-8.913769
k333,3x3x3,GFN1-xTB,VIII,4.230000,-9.436572,-13.666572
k333,3x3x3,GFN1-xTB,IX,0.600000,-5.017512,-5.617512
k333,3x3x3,GFN1-xTB,XI,0.160000,-1.365352,-1.525352
k333,3x3x3,GFN1-xTB,XIII,2.120000,-6.268178,-8.388178
k333,3x3x3,GFN1-xTB,XIV,1.700000,-7.070593,-8.770593
k333,3x3x3,GFN1-xTB,XV,1.740000,-10.028147,-11.768147
k333,3x3x3,GFN1-xTB,XVII,1.750000,-3.402996,-5.152996
k333,3x3x3,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k333,3x3x3,GFN2-xTB,II,0.310000,-2.510254,-2.820254
k333,3x3x3,GFN2-xTB,III,1.250000,-2.115750,-3.365750
k333,3x3x3,GFN2-xTB,IV,3.830000,0.742634,-3.087366
k333,3x3x3,GFN2-xTB,VI,1.780000,-2.943933,-4.723933
k333,3x3x3,GFN2-xTB,VII,4.990000,9.149401,4.159401
k333,3x3x3,GFN2-xTB,VIII,4.230000,4.881386,0.651386
k333,3x3x3,GFN2-xTB,IX,0.600000,-3.075168,-3.675168
k333,3x3x3,GFN2-xTB,XI,0.160000,-0.391767,-0.551767
k333,3x3x3,GFN2-xTB,XIII,2.120000,-4.672092,-6.792092
k333,3x3x3,GFN2-xTB,XIV,1.700000,-1.489937,-3.189937
k333,3x3x3,GFN2-xTB,XV,1.740000,-2.763004,-4.503004
k333,3x3x3,GFN2-xTB,XVII,1.750000,1.046444,-0.703556
k444,4x4x4,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k444,4x4x4,GFN1-xTB,II,0.310000,-7.558089,-7.868089
k444,4x4x4,GFN1-xTB,III,1.250000,-3.599851,-4.849851
k444,4x4x4,GFN1-xTB,IV,3.830000,-3.825359,-7.655359
k444,4x4x4,GFN1-xTB,VI,1.780000,-10.141831,-11.921831
k444,4x4x4,GFN1-xTB,VII,4.990000,-3.937802,-8.927802
k444,4x4x4,GFN1-xTB,VIII,4.230000,-9.436819,-13.666819
k444,4x4x4,GFN1-xTB,IX,0.600000,-5.017512,-5.617512
k444,4x4x4,GFN1-xTB,XI,0.160000,-1.365215,-1.525215
k444,4x4x4,GFN1-xTB,XIII,2.120000,-6.268178,-8.388178
k444,4x4x4,GFN1-xTB,XIV,1.700000,-7.071305,-8.771305
k444,4x4x4,GFN1-xTB,XV,1.740000,-10.028159,-11.768159
k444,4x4x4,GFN1-xTB,XVII,1.750000,-3.402998,-5.152998
k444,4x4x4,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k444,4x4x4,GFN2-xTB,II,0.310000,-2.510260,-2.820260
k444,4x4x4,GFN2-xTB,III,1.250000,-2.115752,-3.365752
k444,4x4x4,GFN2-xTB,IV,3.830000,0.742634,-3.087366
k444,4x4x4,GFN2-xTB,VI,1.780000,-2.943963,-4.723963
k444,4x4x4,GFN2-xTB,VII,4.990000,9.131232,4.141232
k444,4x4x4,GFN2-xTB,VIII,4.230000,4.880690,0.650690
k444,4x4x4,GFN2-xTB,IX,0.600000,-3.075171,-3.675171
k444,4x4x4,GFN2-xTB,XI,0.160000,-0.391911,-0.551911
k444,4x4x4,GFN2-xTB,XIII,2.120000,-4.672092,-6.792092
k444,4x4x4,GFN2-xTB,XIV,1.700000,-1.490333,-3.190333
k444,4x4x4,GFN2-xTB,XV,1.740000,-2.763029,-4.503029
k444,4x4x4,GFN2-xTB,XVII,1.750000,1.046443,-0.703557
k555,5x5x5,GFN1-xTB,Ih,0.000000,0.000000,0.000000
k555,5x5x5,GFN1-xTB,II,0.310000,-7.558089,-7.868089
k555,5x5x5,GFN1-xTB,III,1.250000,-3.599851,-4.849851
k555,5x5x5,GFN1-xTB,IV,3.830000,-3.825359,-7.655359
k555,5x5x5,GFN1-xTB,VI,1.780000,-10.141832,-11.921832
k555,5x5x5,GFN1-xTB,VII,4.990000,-3.937682,-8.927682
k555,5x5x5,GFN1-xTB,VIII,4.230000,-9.436818,-13.666818
k555,5x5x5,GFN1-xTB,IX,0.600000,-5.017512,-5.617512
k555,5x5x5,GFN1-xTB,XI,0.160000,-1.365221,-1.525221
k555,5x5x5,GFN1-xTB,XIII,2.120000,-6.268178,-8.388178
k555,5x5x5,GFN1-xTB,XIV,1.700000,-7.071310,-8.771310
k555,5x5x5,GFN1-xTB,XV,1.740000,-10.028159,-11.768159
k555,5x5x5,GFN1-xTB,XVII,1.750000,-3.402998,-5.152998
k555,5x5x5,GFN2-xTB,Ih,0.000000,0.000000,0.000000
k555,5x5x5,GFN2-xTB,II,0.310000,-2.510260,-2.820260
k555,5x5x5,GFN2-xTB,III,1.250000,-2.115752,-3.365752
k555,5x5x5,GFN2-xTB,IV,3.830000,0.742634,-3.087366
k555,5x5x5,GFN2-xTB,VI,1.780000,-2.943963,-4.723963
k555,5x5x5,GFN2-xTB,VII,4.990000,9.130356,4.140356
k555,5x5x5,GFN2-xTB,VIII,4.230000,4.880674,0.650674
k555,5x5x5,GFN2-xTB,IX,0.600000,-3.075171,-3.675171
k555,5x5x5,GFN2-xTB,XI,0.160000,-0.391912,-0.551912
k555,5x5x5,GFN2-xTB,XIII,2.120000,-4.672092,-6.792092
k555,5x5x5,GFN2-xTB,XIV,1.700000,-1.490343,-3.190343
k555,5x5x5,GFN2-xTB,XV,1.740000,-2.763029,-4.503029
k555,5x5x5,GFN2-xTB,XVII,1.750000,1.046443,-0.703557
