mesh,mesh_label,nk_total,method,N,ME,MAE,RMSE,MaxAE
gamma,Gamma,1,GFN1-xTB,12,-5.285749,6.694624,7.153219,10.470050
gamma,Gamma,1,GFN2-xTB,12,0.906983,5.578897,10.188726,33.462413
k111,1x1x1,1,GFN1-xTB,12,-5.285749,6.694624,7.153219,10.470050
k111,1x1x1,1,GFN2-xTB,12,0.906983,5.578897,10.188726,33.462413
k222,2x2x2,8,GFN1-xTB,12,-7.956838,7.956838,8.600432,13.586279
k222,2x2x2,8,GFN2-xTB,12,-2.781883,3.510100,3.856877,6.346319
k222,2x2x2,8,g-xTB,12,-88.964853,90.938368,126.950862,304.489042
k333,3x3x3,27,GFN1-xTB,12,-8.005255,8.005255,8.650658,13.663936
k333,3x3x3,27,GFN2-xTB,12,-2.837920,3.462919,3.812981,6.346296
k333,3x3x3,27,g-xTB,12,-36.488658,36.488658,57.001031,154.711917
k444,4x4x4,64,GFN1-xTB,12,-8.006494,8.006494,8.651956,13.664182
k444,4x4x4,64,GFN2-xTB,12,-2.839516,3.461424,3.811683,6.346296
k555,5x5x5,125,GFN1-xTB,12,-8.006485,8.006485,8.651947,13.664182
k555,5x5x5,125,GFN2-xTB,12,-2.839590,3.461353,3.811621,6.346296
