method,Ih,II,III,IV,VI,VII,VIII,IX,XI,XIII,XIV,XV,XVII
DMC,-59.4500,-59.1400,-58.2000,-55.6200,-57.6700,-54.4600,-55.2200,-58.8500,-59.2900,-57.3300,-57.7500,-57.7100,-57.7000
B3LYP-D4,-63.0300,-61.1100,-60.4200,-58.1000,-58.6900,-53.7800,-54.9800,-61.3300,-63.2000,-60.1800,-59.6000,-58.6500,-62.0500
B3LYP-D3(BJ)atm,-63.6300,-61.9000,-61.1100,-58.9000,-59.6000,-54.9600,-56.2100,-62.0300,-63.8000,-61.0000,-60.4300,-59.5600,-62.6800
B3LYP-D3(BJ),-64.0400,-62.5200,-61.6500,-59.5700,-60.3700,-55.8600,-57.0900,-62.6200,-64.2300,-61.6800,-61.1700,-60.3100,-63.0100
B3LYP-D3atm,-64.1400,-64.0200,-62.1000,-60.8900,-62.2400,-59.8900,-60.9500,-63.3900,-64.2800,-62.9900,-62.6100,-62.1600,-63.2400
B3LYP-D3,-64.5500,-64.6500,-62.6400,-61.5600,-63.0100,-60.7800,-61.8400,-63.9800,-64.7100,-63.6700,-63.3400,-62.9100,-63.5700
B3LYP,-52.7100,-46.9600,-48.2200,-43.8500,-42.8800,-35.9700,-37.3600,-48.4900,-52.7300,-45.7200,-44.4600,-43.0300,-52.0900
revPBE0-D4,-56.3100,-54.0000,-53.6500,-51.1700,-51.5800,-46.8700,-48.0900,-54.4100,-56.4200,-53.0500,-52.4400,-51.6200,-55.2700
revPBE0-D3(BJ)atm,-56.9400,-55.0200,-54.5000,-52.2200,-52.8400,-48.3800,-49.6600,-55.3200,-57.0600,-54.1500,-53.5800,-52.8600,-55.8900
revPBE0-D3(BJ),-57.3500,-55.6500,-55.0400,-52.8900,-53.6000,-49.2800,-50.5500,-55.9100,-57.4800,-54.8300,-54.3200,-53.6100,-56.2200
revPBE0-D3atm,-57.0300,-56.9600,-54.8100,-53.8000,-55.4300,-54.7100,-55.7800,-56.0300,-57.0900,-55.6500,-55.3400,-55.4000,-56.1100
revPBE0-D3,-57.4500,-57.5800,-55.3500,-54.4700,-56.2000,-55.6100,-56.6700,-56.6100,-57.5100,-56.3300,-56.0800,-56.1500,-56.4400
revPBE0,-44.0500,-37.5800,-39.5100,-34.7200,-33.3100,-25.8800,-27.3500,-39.6300,-44.0000,-36.4100,-35.0300,-33.5800,-43.2900
PBE0-MBD,-65.1500,-63.0800,-62.5600,-60.1100,-60.7400,-55.9200,-57.1400,-63.4000,-65.4200,-62.1800,-61.5400,-60.6400,-64.1100
PBE0-TS,-64.6700,-64.1400,-62.6600,-61.3000,-62.5200,-41.8800,-58.4600,-63.7600,-64.9500,-63.4400,-63.1300,-62.4300,-63.6200
PBE0-D4,-64.3800,-61.4300,-61.4800,-58.4900,-58.7500,-53.3200,-54.5600,-62.1200,-64.6300,-60.4800,-59.7400,-58.7000,-63.3400
PBE0-D3(BJ)atm,-64.6800,-61.8000,-61.8100,-58.8700,-59.1700,-53.8800,-55.1400,-62.4500,-64.9300,-60.8600,-60.1300,-59.1200,-63.6600
PBE0-D3(BJ),-65.0900,-62.4200,-62.3500,-59.5400,-59.9400,-54.7800,-56.0200,-63.0300,-65.3500,-61.5400,-60.8600,-59.8700,-63.9900
PBE0-D3atm,-65.8000,-64.7700,-63.4400,-61.1800,-61.9000,-57.8600,-58.9900,-64.3500,-66.0500,-63.2200,-62.6200,-61.8200,-64.8100
PBE0-D3,-66.2100,-64.7700,-63.9800,-61.8500,-62.6700,-58.7500,-59.8800,-64.9400,-66.4700,-63.9100,-63.3500,-62.5700,-65.1400
PBE0,-57.4700,-52.1200,-53.2700,-49.0500,-48.3900,-41.8800,-43.2300,-53.4900,-57.6300,-50.8800,-49.7400,-48.4500,-56.7700
SCAN+rVV10,-68.2600,-67.8300,-66.3300,-65.1700,-66.2700,-64.0700,-65.5300,-67.3800,-68.5200,-67.1400,-66.9000,-66.6100,-67.2900
R2SCAN,-62.8300,-61.3400,-60.3900,-58.6000,-59.5300,-56.3900,-57.6100,-61.0000,-63.0800,-60.4000,-60.0400,-59.4300,-62.1000
RSCAN,-61.4000,-59.3800,-58.6700,-56.5100,-57.3500,-53.8300,-55.0400,-59.1500,-61.6800,-58.3500,-57.9000,-57.2100,-60.7500
SCAN,-64.4200,-62.8400,-61.9500,-60.0500,-60.5800,-57.5800,-59.0900,-62.7700,-64.8000,-61.9500,-61.4600,-61.0000,-63.6900
optB88-vdW,-67.9000,-67.8500,-66.9100,-65.6600,-66.9900,-63.5000,-64.6100,-67.8800,-68.3200,-67.6600,-67.5200,-66.8200,-66.4000
optB86b-vdW,-68.6900,-67.8900,-67.4700,-65.7400,-66.8300,-62.8400,-63.9300,-68.2200,-69.1800,-67.6800,-67.4300,-66.6300,-67.2100
optPBE-vdW,-65.5500,-65.7200,-64.7900,-63.7700,-64.8400,-61.2500,-62.4600,-65.9300,-65.8200,-65.6600,-65.5000,-64.8300,-63.8700
rev-vdW-DF2,-66.3700,-64.2600,-64.2700,-61.8700,-62.5200,-57.9000,-59.0300,-64.8400,-66.8400,-63.7900,-63.3200,-62.3500,-65.2600
vdW-DF2,-59.4300,-60.1600,-58.4000,-57.9300,-59.1800,-56.4900,-57.8000,-59.8700,-59.4300,-59.9200,-59.8400,-59.3000,-58.0600
vdW-DF,-53.5900,-53.7800,-52.8600,-52.0300,-52.7400,-49.1300,-50.4700,-54.1900,-53.5900,-53.8100,-53.6000,-52.9600,-51.8400
revPBE-D4,-59.9600,-56.4700,-57.1200,-54.0000,-53.9700,-48.6700,-49.7300,-57.3300,-60.2900,-55.6800,-54.9800,-53.9000,-58.9600
revPBE-D3(BJ)atm,-58.8600,-55.9200,-56.3900,-53.5400,-53.6600,-48.2500,-49.4300,-56.7400,-59.1700,-55.3100,-54.6400,-53.6200,-57.8000
revPBE-D3(BJ),-59.2700,-56.5500,-56.9200,-54.2100,-54.4200,-49.1500,-50.3100,-57.3300,-59.5900,-55.9900,-55.3700,-54.3800,-58.1300
revPBE-D3atm,-58.6000,-57.1200,-56.1500,-54.3700,-55.4000,-53.9300,-54.8500,-56.8200,-58.8300,-56.0200,-55.5700,-55.3100,-57.6800
revPBE-D3,-59.0100,-57.7500,-56.6900,-55.0400,-56.1600,-54.8300,-55.7400,-57.4100,-59.2500,-56.7100,-56.3000,-56.0700,-58.0000
revPBE,-43.8600,-35.5900,-38.9600,-33.1600,-30.8800,-21.8900,-23.3000,-38.5200,-43.9700,-34.6600,-33.0200,-31.1400,-43.1100
PBE-MBD,-70.4800,-67.2900,-67.7700,-64.6900,-64.7500,-58.8700,-59.9400,-68.1300,-70.9600,-66.6400,-65.8300,-64.5700,-69.4000
PBE-TS,-69.5900,-67.7500,-67.4400,-65.2900,-65.8600,-58.8400,-60.3600,-68.0400,-70.1000,-67.3000,-66.8100,-65.7100,-68.5300
PBE-D4,-69.6200,-65.5500,-66.6000,-62.9700,-62.7100,-56.2100,-57.3500,-66.7500,-70.1000,-64.8200,-63.9600,-62.5800,-68.6100
PBE-D3(BJ)atm,-69.9500,-65.9500,-66.9600,-63.3800,-63.1900,-56.8500,-58.0200,-67.1100,-70.4300,-65.2300,-64.3800,-63.0500,-68.9600
PBE-D3(BJ),-70.3600,-66.5800,-67.4900,-64.0500,-63.9600,-57.7500,-58.9000,-67.6900,-70.8500,-65.9200,-65.1100,-63.8000,-69.2900
