mesh,mesh_label,method,reference_variant,N,ME,MAE,RMSE,MaxAE
gamma,Gamma,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-5.285749,6.694624,7.153219,10.470050
gamma,Gamma,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-5.284916,6.695458,7.153383,10.470050
gamma,Gamma,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,0.906983,5.578897,10.188726,33.462413
gamma,Gamma,GFN2-xTB,primary_explicit_relative_XI_0.15,12,0.907816,5.579731,10.188911,33.462413
k111,1x1x1,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-5.285749,6.694624,7.153219,10.470050
k111,1x1x1,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-5.284916,6.695458,7.153383,10.470050
k111,1x1x1,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,0.906983,5.578897,10.188726,33.462413
k111,1x1x1,GFN2-xTB,primary_explicit_relative_XI_0.15,12,0.907816,5.579731,10.188911,33.462413
k222,2x2x2,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-7.956838,7.956838,8.600432,13.586279
k222,2x2x2,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-7.956004,7.956004,8.600288,13.586279
k222,2x2x2,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.781883,3.510100,3.856877,6.346319
k222,2x2x2,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.781050,3.509267,3.856755,6.346319
k222,2x2x2,g-xTB,legacy_rounded_absolute_XI_0.16,12,-88.964853,90.938368,126.950862,304.489042
k222,2x2x2,g-xTB,primary_explicit_relative_XI_0.15,12,-88.964019,90.937535,126.949769,304.489042
k333,3x3x3,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-8.005255,8.005255,8.650658,13.663936
k333,3x3x3,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-8.004422,8.004422,8.650512,13.663936
k333,3x3x3,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.837920,3.462919,3.812981,6.346296
k333,3x3x3,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.837087,3.462086,3.812854,6.346296
k333,3x3x3,g-xTB,legacy_rounded_absolute_XI_0.16,12,-36.488658,36.488658,57.001031,154.711917
k333,3x3x3,g-xTB,primary_explicit_relative_XI_0.15,12,-36.487825,36.487825,57.000102,154.711917
k444,4x4x4,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-8.006494,8.006494,8.651956,13.664182
k444,4x4x4,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-8.005661,8.005661,8.651810,13.664182
k444,4x4x4,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.839516,3.461424,3.811683,6.346296
k444,4x4x4,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.838683,3.460591,3.811556,6.346296
k555,5x5x5,GFN1-xTB,legacy_rounded_absolute_XI_0.16,12,-8.006485,8.006485,8.651947,13.664182
k555,5x5x5,GFN1-xTB,primary_explicit_relative_XI_0.15,12,-8.005652,8.005652,8.651800,13.664182
k555,5x5x5,GFN2-xTB,legacy_rounded_absolute_XI_0.16,12,-2.839590,3.461353,3.811621,6.346296
k555,5x5x5,GFN2-xTB,primary_explicit_relative_XI_0.15,12,-2.838756,3.460519,3.811493,6.346296
