index,phase,DMC_relative_kJmol,GFN1_relative_kJmol,GFN2_relative_kJmol,GFN1_error_kJmol,GFN2_error_kJmol
1,Ih,0.0000,0.0000,0.0000,0.0000,0.0000
2,II,0.3100,-11.6716,-7.4743,-11.9816,-7.7843
3,III,1.2500,-8.8809,-8.1158,-10.1309,-9.3658
4,IV,3.8300,-5.1118,-0.4299,-8.9418,-4.2599
5,VI,1.7800,-14.2768,-9.1009,-16.0568,-10.8809
6,VII,4.9900,-17.1823,-7.7289,-22.1723,-12.7189
7,VIII,4.2300,-22.5955,-12.9204,-26.8255,-17.1504
8,IX,0.6000,-8.4450,-7.2600,-9.0450,-7.8600
9,XI,0.1600,0.0724,0.0923,-0.0876,-0.0677
10,XIII,2.1200,-12.1976,-9.3913,-14.3176,-11.5113
11,XIV,1.7000,-11.2922,-7.4364,-12.9922,-9.1364
12,XV,1.7400,-13.9973,-8.6820,-15.7373,-10.4220
13,XVII,1.7500,-7.3129,-3.6274,-9.0629,-5.3774
