method,ME,MAE,RMSE,MaxAE
optB86b-vdW,-0.1025,0.4825,0.5833,1.1100
B3LYP-D3atm,-0.2950,0.5117,0.6125,1.0400
SCAN+rVV10,-0.3650,0.5800,0.7039,1.5000
B3LYP-D3,-0.5433,0.6533,0.7984,1.5200
revPBE-D3,0.3092,0.7942,0.8655,1.2000
optB88-vdW,-0.8150,0.8150,0.9618,1.8800
revPBE0-D3atm,-0.6008,0.8292,1.2536,2.9800
revPBE-D3atm,0.5575,0.8942,0.9973,1.5500
revPBE0-D3,-0.8383,1.0200,1.4635,3.4500
optPBE-vdW,-1.0250,1.0250,1.2069,2.2300
vdW-DF,-1.0317,1.0317,1.2632,2.3400
R2SCAN,0.7992,1.0375,1.1226,1.6600
SCAN,0.9017,1.1617,1.2661,2.0600
PBE0-D3,0.9817,1.1650,1.3602,2.4700
HF,1.0150,1.1667,1.3136,2.2100
B3LYP-D3(BJ),1.1617,1.3400,1.6078,3.1900
revPBE0-D3(BJ),1.1967,1.3483,1.5950,3.0800
PBE0-D3atm,1.1775,1.3725,1.6103,2.9500
vdW-DF2,-1.4733,1.4733,1.7071,2.6100
rev-vdW-DF2,1.3108,1.5225,1.8116,3.4800
B3LYP-D3(BJ)atm,1.4100,1.5983,1.8909,3.6800
revPBE0-D3(BJ)atm,1.4450,1.6083,1.8824,3.5700
RSCAN,1.3767,1.6333,1.7516,2.5800
PBE-TS,1.5492,1.7758,2.4657,5.7600
B3LYP-D4,1.6508,1.8342,2.1862,4.2600
PBE0-MBD,1.7083,1.8983,2.2285,4.2400
PBE0-TS,1.6075,2.0492,5.1928,17.8000
revPBE0-D4,1.8908,2.0542,2.3998,4.4500
PBE-D3,1.9150,2.1400,2.5992,5.1500
revPBE-D3(BJ),2.0358,2.2175,2.6638,5.1300
PBE-D3atm,2.1625,2.3992,2.8862,5.6400
PBE0-D3(BJ),2.2442,2.4225,2.8449,5.3200
revPBE-D3(BJ)atm,2.2825,2.4758,2.9524,5.6200
PBE0-D3(BJ)atm,2.4900,2.6800,3.1355,5.8100
PBE0-D4,2.5883,2.7750,3.2611,6.0700
PBE-MBD,2.7050,2.9233,3.4938,6.6200
revPBE-D4,2.8300,3.0367,3.5308,6.3000
PBE-D3(BJ),3.2058,3.4275,4.0711,7.6200
HF-D3(BJ)atm,-3.5275,3.5942,4.4670,8.8500
PBE-D3(BJ)atm,3.4525,3.6858,4.3625,8.1100
PBE-D4,3.5642,3.7942,4.5106,8.4200
HF-D3(BJ),-3.7733,3.8383,4.7533,9.3200
HF-D4,-3.8283,3.9200,4.7940,9.3300
PBE0,5.0233,5.2517,6.0759,10.6000
B3LYP,5.5250,5.7433,6.6832,11.7500
LDA,5.3492,5.7892,6.5926,11.3100
HF-D3atm,-6.0825,6.1892,7.5126,14.2500
revPBE0,6.1542,6.3375,7.4407,13.1800
HF-D3,-6.3208,6.4275,7.7957,14.7100
PBE,6.2183,6.4800,7.5852,13.4500
revPBE,7.8050,8.0167,9.4960,16.9800
GFN2-xTB,-5.0919,8.5488,9.5200,17.9806
GFN1-xTB,-10.4212,10.8934,11.8420,21.5808
