# index phase DMC DMC_error GFN1 GFN2 GFN1_Gamma GFN2_Gamma PBE PBE-D4 PBE0 PBE0-D4 SCAN SCAN+rVV10
1 Ih 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 II 0.310000 0.100000 -7.558093 -2.510254 -6.856952 -1.786963 6.690000 4.070000 5.350000 2.950000 1.580000 0.430000
3 III 1.250000 0.100000 -3.599853 -2.115750 -3.222103 -1.416046 4.380000 3.020000 4.200000 2.900000 2.470000 1.930000
4 IV 3.830000 0.100000 -3.825358 0.742634 -3.834755 0.773802 9.380000 6.650000 8.420000 5.890000 4.370000 3.090000
5 VI 1.780000 0.100000 -10.141820 -2.943933 -8.695948 -1.196725 10.650000 6.910000 9.080000 5.630000 3.840000 1.990000
6 VII 4.990000 0.100000 -3.923769 9.149401 12.036379 39.352751 18.440000 13.410000 15.590000 11.060000 6.840000 4.190000
7 VIII 4.230000 0.100000 -9.436572 4.881386 -3.879854 7.752992 17.180000 12.270000 14.240000 9.820000 5.330000 2.730000
8 IX 0.600000 0.100000 -5.017512 -3.075168 -4.713146 -2.371202 4.670000 2.870000 3.980000 2.260000 1.650000 0.880000
9 XI 0.160000 0.100000 -1.365352 -0.391767 1.561596 2.458788 -0.370000 -0.480000 -0.160000 -0.250000 -0.380000 -0.260000
10 XIII 2.120000 0.100000 -6.268178 -4.672092 -6.411972 -4.814249 7.690000 4.800000 6.590000 3.900000 2.470000 1.120000
11 XIV 1.700000 0.100000 -7.070593 -1.489937 -3.507486 1.387377 8.990000 5.660000 7.730000 4.640000 2.960000 1.360000
12 XV 1.740000 0.100000 -10.028147 -2.763004 -8.660529 -1.144570 10.670000 7.040000 9.020000 5.680000 3.420000 1.650000
13 XVII 1.750000 0.100000 -3.402996 1.046444 -2.819455 1.935470 0.710000 1.010000 0.700000 1.040000 0.730000 0.970000
