# index phase GFN1_error GFN2_error GFN1_Gamma_error GFN2_Gamma_error PBE_error PBE-D4_error PBE0_error PBE0-D4_error SCAN_error SCAN+rVV10_error
1 Ih 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 II -7.868093 -2.820254 -7.166952 -2.096963 6.380000 3.760000 5.040000 2.640000 1.270000 0.120000
3 III -4.849853 -3.365750 -4.472103 -2.666046 3.130000 1.770000 2.950000 1.650000 1.220000 0.680000
4 IV -7.655358 -3.087366 -7.664755 -3.056198 5.550000 2.820000 4.590000 2.060000 0.540000 -0.740000
5 VI -11.921820 -4.723933 -10.475948 -2.976725 8.870000 5.130000 7.300000 3.850000 2.060000 0.210000
6 VII -8.913769 4.159401 7.046379 34.362751 13.450000 8.420000 10.600000 6.070000 1.850000 -0.800000
7 VIII -13.666572 0.651386 -8.109854 3.522992 12.950000 8.040000 10.010000 5.590000 1.100000 -1.500000
8 IX -5.617512 -3.675168 -5.313146 -2.971202 4.070000 2.270000 3.380000 1.660000 1.050000 0.280000
9 XI -1.525352 -0.551767 1.401596 2.298788 -0.530000 -0.640000 -0.320000 -0.410000 -0.540000 -0.420000
10 XIII -8.388178 -6.792092 -8.531972 -6.934249 5.570000 2.680000 4.470000 1.780000 0.350000 -1.000000
11 XIV -8.770593 -3.189937 -5.207486 -0.312623 7.290000 3.960000 6.030000 2.940000 1.260000 -0.340000
12 XV -11.768147 -4.503004 -10.400529 -2.884570 8.930000 5.300000 7.280000 3.940000 1.680000 -0.090000
13 XVII -5.152996 -0.703556 -4.569455 0.185470 -1.040000 -0.740000 -1.050000 -0.710000 -1.020000 -0.780000
