mesh,phase,natoms,poscar_sha256,extxyz_sha256,source_input_sha256
1,Ih,36,9aa350879d43ac7445bef16ad619abbdc73a6d8f19a29ff329bf5e6b1113c9a5,0ae3cf4a4d28af66681e75559198ea90a0071be797078b11bdac933f175a3995,54178b1a36be6b524526941df7e44d27932b7d28bd8bf963c7ac07befd18d9ef
1,II,36,df58c1793e42fde72ca4b180ca8a064e9970b5cafb0375af132555c7ce6014ae,2e0433a68b3cdce41584c301d4613144dc03ea239cc2087b0de8d619783687bd,1c82faa6ddd1efcf92b2bbf6fc5a0cc7fbdd156b414a37387900fddd7f015847
1,III,36,e02513be90d29d54c9a3b7b9d550a5b24f68d7cfa3ac49fceb6395c86a1c6352,a9de20d7bad20b8c61906ec42cd0bdea32e93c2d508bf5928a82741a4674a75e,c385b113a880e6f4078444fdd21cb827b80c33839b52649de19c6fbf50f7341a
1,IV,48,87e98760385cf3674274809f5c0cf286d82d498ca32ed6ae628ab9788a8cfa4e,1494dc6a602c7c12dd5de1c8831a7152515b1109bf694923093698781d58b90f,20ada72a68aed5e5199f2f6f377f81126c064d40331da158bc0a209b5f2767f9
1,VI,30,bdbf876e7a1c12bc1c198fbbee3d47fd501037ed8e81c5458d4d4ba259d30ba2,c370eee1e77fbc490a493fc4065fa656ebe3d15cd54f32eccb6fe97a31a9f7af,eba1e67b11b9e55ee4b8fc378f7f3a6c8f607641492cadb418ce8c6f0f5f755a
1,VII,36,b45fed8bcdd9050ca302bec8828e752859c700a23f60fcdec9229ad410e889fa,1509fb9d7af8b1e6a0d63823f280e2b17590d0b2b805f391651ac53106b13aeb,78eebd961e53b4d106e514d3e09ca8dd40748573808db3aee38c8389d572e9cf
1,VIII,24,aaec8cece8b97380b3bfedc019f0e268fa1e00f019d7f12de02790879244e453,dea82fe46075ea42c20060b374c214dbe3031497a795302944c273e94474a912,329643d576b034b054141e7eb07da93ed857c852976682d71c92180e2261eee3
1,IX,36,1ff6d5c95fcdf733d13ba53e53335411da5f0f16ad0bc9349b9215ae6d08ade3,6ed5f77ea5760475bc14fc97ec21e046b6f28975b47b3183c954fd8cd3070b5a,8bfe59918dcc987a039eafb9480a2efca2383417a0ce6d7d45107af18b4c1398
1,XI,24,1d8179172ae08b30df8afcab7afe059423aba0a965490649110cfc45df5d1956,49ea52885880a1cbd32f58b6f1857d888f135b40e2871bec89662c1e55effcda,85cec69c937fe3796044985cb2a1c6acf787956d82b7f5415a19ccafdfda57ca
1,XIII,84,e312c0cda85b25ceeb4d8e022c270ab642d9b9033ad4309efe1dc9b707695a2c,93a6524e07c59350e8cb01b6cdd2ebc7535f93ca8d6f0330a1e9e98466c17556,f5b486290a42774a91e186b9a707b42ff05b867e263702ac74c9fc2c8dc7bed1
1,XIV,36,31a08202cdca25ce13ed9fb538367ff86fbe4558821ab34a7149d6e185a03a8c,896021d21d1a0aa407df5e7ded586bc007622502c3ec1c1353ea9cf416fd396b,dfcbabb624db6176681bf88f6ce3ae11df317101b81e873d73d966e2e488de23
1,XV,30,8e03a362df5eba3f6a59021584b678bf7963501283e55ed40d83afcbe9c0962d,0e6d82b42b518ba104bf7d5eae511526b543f6e9b54c289d2340e70176669f92,3f1441fafd4ba5d0aa4a7b3952a16e156521bd472b032e81c9c0cce35912e1a2
1,XVII,18,19f9494c99dffcb5bfcd7d4c7dccf35fd4be806648b426c0f1816a05c7228681,c83c1cd60a9dabd11d4024a8c8368684b8048d515972908e5d4e0fb941bf676f,adc6947fafa2666e20124632a1c29bd964cd95717767013a5688aa2a27238972
2,Ih,288,cc6ec119078ecd4769f50893aa7cd6128390cab0eb6f069d58d9972b0a1904b7,8a1bd24bc3f73a8142d5c408818173264a61b0cbd6e42776b7085d9415aa95b6,54178b1a36be6b524526941df7e44d27932b7d28bd8bf963c7ac07befd18d9ef
2,II,288,bb00e41511d4b1e4cec22e3de12ab94f4556cc0795c62a93f47bcf856947f88a,fb184726329fe61e54d2e935a8bdeb4ac32c8ff12b6c93c0da5c4c54354b816b,1c82faa6ddd1efcf92b2bbf6fc5a0cc7fbdd156b414a37387900fddd7f015847
2,III,288,b4fb7f7d4314640b30726af13be2ca0345cc1540c21136a11c4f3ddd5c476952,d024070178c6d771c5c17a6ee9339fa334508c18a904b99a115f1264388b675c,c385b113a880e6f4078444fdd21cb827b80c33839b52649de19c6fbf50f7341a
2,IV,384,8ee3eca6ffdcce22ebba5414c22666ba6bb796a17c97016cb36339ebf1f7144e,141f200bf5b720429a9f70fb26bf0ea302b0fea7d007e0e12cd496a2bfbc7bba,20ada72a68aed5e5199f2f6f377f81126c064d40331da158bc0a209b5f2767f9
2,VI,240,d99062f4ddc7012617728ead977427ccfe556383ed12f9d9fa619662e9f1288b,983186a7b1d643b234218ca1cc3c5b4dfb54d10d88ff00e4908990d450161033,eba1e67b11b9e55ee4b8fc378f7f3a6c8f607641492cadb418ce8c6f0f5f755a
2,VII,288,4de281e3ab3632f443b22f99162e80a3a327c0b8124489c015d4b68fa62d1d91,688e24521214509b0fdda31498ef0ced7e5aec8ad04ab75e5fe8e0321945c56c,78eebd961e53b4d106e514d3e09ca8dd40748573808db3aee38c8389d572e9cf
2,VIII,192,665dd43c54024db79d58c834bb4aa59727e405c1139b7e575dc73054d816a3d3,1e3563f3f9837f670269b3c1425198158bd709d0693c2d0c5f679cc44bf0e653,329643d576b034b054141e7eb07da93ed857c852976682d71c92180e2261eee3
2,IX,288,ec345cbd2b7c34ea3f8f9f891c8486e4ac07e77e63517cb17b7ea17ca27df959,3e24c4fcb23b2f18a50f53b62fd195636e3d4aac14bc17c439f48373191e5d4c,8bfe59918dcc987a039eafb9480a2efca2383417a0ce6d7d45107af18b4c1398
2,XI,192,89ce70f57ad4a49e4dcdf3d151a2981304d866190279ec84d516d9001890f737,18c3fe1965513e1fab0a9331d8f738878be9219c7df49a7abb9d7ef2776e5217,85cec69c937fe3796044985cb2a1c6acf787956d82b7f5415a19ccafdfda57ca
2,XIII,672,082bd77882b5a9bf57f9ca50ee6a4e5049b969c8b59c6eef2c593517ed8e0d23,23d0e55060c57c71bc180d4124508c6d06e9403b151fe176f51f7c2fc1e2441e,f5b486290a42774a91e186b9a707b42ff05b867e263702ac74c9fc2c8dc7bed1
2,XIV,288,2e836349250b157878fd3f1683d921713e8f3757a542b6c0db439e45e39c7623,8214711ef8269483339b7b726189ca1e7139a5d8c7355c5cd89780970a053e84,dfcbabb624db6176681bf88f6ce3ae11df317101b81e873d73d966e2e488de23
2,XV,240,f69c74d09a7612876d5c85043287a99221062a22e8467f5e01bb511d4ac4ce31,0404beb8e504073bb9b1a746cd7400943c934e81065815ba1de6d3d5f2550551,3f1441fafd4ba5d0aa4a7b3952a16e156521bd472b032e81c9c0cce35912e1a2
2,XVII,144,17446bfc858d189bb9e48745c7e14b470ba2b72bc56e7db50afa2864a101b8c7,f1ed1099b79c8ab06ccf5b94de2d96f618e1f074c9b2ad2102802b0bee90b64e,adc6947fafa2666e20124632a1c29bd964cd95717767013a5688aa2a27238972
3,Ih,972,52d9ccb934ce1a26aa72ce30d1de09528b15eaed4492c6ac319adddce0e6a7e5,907006fb30b140d629d4c5d38060265559f6a4b5d3ae34f319025ec78cae4797,54178b1a36be6b524526941df7e44d27932b7d28bd8bf963c7ac07befd18d9ef
3,II,972,9c6fc3c088893d7413933ffd4ae6adeeb30bac20c9275e3ca73ccfe590039ff0,569c08a9731e258c33f002797e6f86e1c09a417db3a72fcd032c5fe4912b89d0,1c82faa6ddd1efcf92b2bbf6fc5a0cc7fbdd156b414a37387900fddd7f015847
3,III,972,fa83e26d382fbc5c697ca883a038eb952a382445c5fbf7840c571aa2d827040c,8134894fdc63fc699641849de1560e2c47865b6996b0b912e0ef82fe185ba2cd,c385b113a880e6f4078444fdd21cb827b80c33839b52649de19c6fbf50f7341a
3,IV,1296,d06ee49a6566090f6e29157ed3908f9a354f6fd9ad7870ccae7b1d1f4e86a9cd,6e57d6a5fc5ef0190f2862ca85d42551649673e039ca2d6f4fd85795a93788e5,20ada72a68aed5e5199f2f6f377f81126c064d40331da158bc0a209b5f2767f9
3,VI,810,f246b72b2f07c32a58fe4f43e4d6d29b0c4d9c1ae22ba3426e8b12ae418a1533,ceb53b314ecd941c1af266c86fc0bcca7bd39f5ac073348a770cfcdd649f1170,eba1e67b11b9e55ee4b8fc378f7f3a6c8f607641492cadb418ce8c6f0f5f755a
3,VII,972,9ba4fac666046634f6dc5ff0d3f709971c0f66fe1cd0b4251e599ea6d9f82fb9,c7f44bb847a348ce20ec53e2aa2faa568dc27a4493cb65708ddd0c41384cd06b,78eebd961e53b4d106e514d3e09ca8dd40748573808db3aee38c8389d572e9cf
