phase,reference_relative_energy_kJmol_per_H2O,reference_phase,citation
Ih,0.000000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
II,0.310000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
III,1.250000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
IV,3.830000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
VI,1.780000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
VII,4.990000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
VIII,4.230000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
IX,0.600000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
XI,0.160000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
XIII,2.120000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
XIV,1.700000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
XV,1.740000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
XVII,1.750000,Ih,"Della Pia, Zen, Alfe, and Michaelides, J. Chem. Phys. 157, 134701 (2022)"
