mesh_n,mesh_id,provider,phase,n_H2O_primitive,absolute_energy_Ha_per_primitive,relative_energy_kJmol_per_H2O,DMC_reference_kJmol_per_H2O,signed_error_kJmol_per_H2O,reference_phase,source_sha256,status
1,k111,cp2k_native,Ih,12,-918.879863284494263,0.000000000000,0.000000,+0.000000000000,Ih,3c3688fca19fe35a52699e1f0d6e536204b9fc94fe38d24dd8a9b5f4ffbad37c,recorded
1,k111,cp2k_native,II,12,-919.270201933062026,-85.402831709314,0.310000,-85.712831709314,Ih,fe156e2b35df2786e77de4844adcdaea8c03853ffb73753a52252508d5747f6f,recorded
1,k111,cp2k_native,III,12,-919.121119174190426,-52.784770921874,1.250000,-54.034770921874,Ih,103bbe61a7d0db7b092015494e37e5faa67345d0942476f09f934e5ebf502899,recorded
1,k111,cp2k_native,IV,16,-1224.937515610868559,38.666296851105,3.830000,+34.836296851105,Ih,cafbb674f47a0ebd0668a4b4878a5d748a611225d4682b20053263a7043726c1,recorded
1,k111,cp2k_native,VI,10,-766.190091970172489,-119.951875776680,1.780000,-121.731875776680,Ih,78e13fd6bc2654bc6d23c4735704d1b92f6fb0737da80a43c750697aed881c66,recorded
1,k111,cp2k_native,VII,12,-921.127998037365501,-491.873081653221,4.990000,-496.863081653221,Ih,d3ff5414721b14b5fde648fa43c8d2113cf18f9306d5661dc61150d257df52f8,recorded
1,k111,cp2k_native,VIII,8,-613.278806186415522,-227.181419527487,4.230000,-231.411419527487,Ih,7541a3abf99b8ddebab6f756665dfab61406f5cdd1721e8349d4780dab0cafa9,recorded
1,k111,cp2k_native,IX,12,-919.045637223852054,-36.269951481118,0.600000,-36.869951481118,Ih,5a56a42e9ef1bb7a82a53d12ca907940ad7c71033f8b2ddeec2d6c59dca817c1,recorded
1,k111,cp2k_native,XI,8,-613.498427920132258,-299.258517323765,0.160000,-299.418517323765,Ih,3017adf6f1baf7066396fba5df0b2287a0e75a157531afcac4841f5c890e0267,recorded
1,k111,cp2k_native,XIII,28,-2143.877423955348149,16.464730941529,2.120000,+14.344730941529,Ih,df61e6ebb59cc076fd937e87b19851f792fc6a1ac93380749960713ea9dfeba1,recorded
1,k111,cp2k_native,XIV,12,-920.488501440639652,-351.956574719367,1.700000,-353.656574719367,Ih,f5645b927c5080ac0376009095b6b98ee24860296cfb75f7ec2e276d380ce681,recorded
1,k111,cp2k_native,XV,10,-766.194680627027651,-121.156627467894,1.740000,-122.896627467894,Ih,f11d075d9e67285146a39c8a19e641649713a84831e1a1ee85f9a1630bcb5cdb,recorded
1,k111,cp2k_native,XVII,6,-459.696995635640917,-112.486903599691,1.750000,-114.236903599691,Ih,398f10b4c769b494b742e00687e5364c0a3e995963df770546b3f552c0b30ddc,recorded
1,k111,save_tblite_cli,Ih,12,-918.879863295656719,0.000000000000,0.000000,+0.000000000000,Ih,b30bca2e6f9392042ef3d93c0dfb576642f7b4b7fab73fbf5332bc981d47746c,recorded
1,k111,save_tblite_cli,II,12,-919.270201947530381,-85.402832432655,0.310000,-85.712832432655,Ih,c15bed0dbbc2378d31487910d90bcf55ddeabccf0a4cfd87f394977e798dc398,recorded
1,k111,save_tblite_cli,III,12,-919.121119187621616,-52.784771418255,1.250000,-54.034771418255,Ih,d890a9b0a2a2a9fc21c063f5520a75a0f35c5001a62ac94ff2122e0f5d9a7343,recorded
1,k111,save_tblite_cli,IV,16,-1224.937515628100527,38.666296465687,3.830000,+34.836296465687,Ih,4fd9017cb15d40896e231d632005d46a9767687f9e76ba436f5897d6a3137652,recorded
1,k111,save_tblite_cli,VI,10,-766.190091981830619,-119.951876395290,1.780000,-121.731876395290,Ih,2b04a0a559ebc63cfe17f0414d80e30031368b7b7c00c8babaf80c9c439e0903,recorded
1,k111,save_tblite_cli,VII,12,-921.127998057144168,-491.873083538376,4.990000,-496.863083538376,Ih,9ab603880ba79fc9130853778df8c18d4109009967de45ed9067b646b8a6f024,recorded
1,k111,save_tblite_cli,VIII,8,-613.278806198076722,-227.181420912307,4.230000,-231.411420912307,Ih,09342152836edf4d41b279da030cf41c8a91458c92ed68e2a50e31c684ddd0f6,recorded
1,k111,save_tblite_cli,IX,12,-919.045637236953326,-36.269951905339,0.600000,-36.869951905339,Ih,472dc73b954db8e5c3cbf42fa4141d97d52e1ba6555281de3ba07a8eec8ad35d,recorded
1,k111,save_tblite_cli,XI,8,-613.498427931669539,-299.258518667916,0.160000,-299.418518667916,Ih,af81bc119e98f8a12737b653c8a7e682b8396a71a53ddddcfcb406f68cd9ed26,recorded
1,k111,save_tblite_cli,XIII,28,-2143.877423985043606,16.464730599279,2.120000,+14.344730599279,Ih,fc0aef79c5769fe1630898b67ec92745c5d66e689b8f5afbe99d41181969b783,recorded
1,k111,save_tblite_cli,XIV,12,-920.488501459184022,-351.956576334506,1.700000,-353.656576334506,Ih,6ccf4cc9244537d3e12442d06eb84591e5581ad2e9a70afb1d5f532a4962a886,recorded
1,k111,save_tblite_cli,XV,10,-766.194680638769341,-121.156628108442,1.740000,-122.896628108442,Ih,78df8c8e693db1002530f94827cca4e2c2bf737d50e4ec5d181c19de7576d716,recorded
1,k111,save_tblite_cli,XVII,6,-459.696995643020614,-112.486904386683,1.750000,-114.236904386683,Ih,8e63c561753dc56ea504dc0c6dcf63f3a7178bd80534bc205d821b85de74dde9,recorded
2,k222,cp2k_native,Ih,12,-917.687114386895018,0.000000000000,0.000000,+0.000000000000,Ih,fa49b071dde2cd647d65a95de1e1d5dbeddcfb26756cab7c3cb55846e58ebb8b,recorded
2,k222,cp2k_native,II,12,-917.870177901966599,-40.052766045954,0.310000,-40.362766045954,Ih,6ccd5f93e1ffdd2a720371d0c013e2417548adbc9fae8f4586cbd316278ce01b,recorded
2,k222,cp2k_native,III,12,-917.786155901661687,-21.669455097238,1.250000,-22.919455097238,Ih,0903fd9220ce2376e79f253ab37d4a5fcf911590b7a3bf0f201e8cb12a2bb9f7,recorded
2,k222,cp2k_native,IV,16,-1223.491855006164542,14.926650756862,3.830000,+11.096650756862,Ih,77e16b2114bd13e61b9163c8542356172a865a764eba1068ea7c6a02660a98e9,recorded
2,k222,cp2k_native,VI,10,-764.957762390368771,-57.367272448852,1.780000,-59.147272448852,Ih,9beb8babfd9de0b8769fe9e85602e9613b9219349e841a86b091a2357d5c0cf4,recorded
2,k222,cp2k_native,VII,12,-919.058168742293333,-299.975226148062,4.990000,-304.965226148062,Ih,8a8f2b0fdb9675d39513209723ff72518c091d61a0f3902ab103f843e3e6e8e2,recorded
2,k222,cp2k_native,VIII,8,-612.161605395580182,-121.493618777871,4.230000,-125.723618777871,Ih,9e8c7430444cb529790e8a6e2beedd296b253cf205644fc1dec041ee07edec0a,recorded
2,k222,cp2k_native,IX,12,-917.754809069559201,-14.811030402432,0.600000,-15.411030402432,Ih,0363684eddd6ae98ec928e32c0fe83d2d2facea4a5e5c2736e426215fcf2c362,recorded
2,k222,cp2k_native,XI,8,-612.294892593739633,-165.236805092581,0.160000,-165.396805092581,Ih,0a54a757d7744d9758679a36c0299d240c002bdb9383118ce3bb30a7f2a0be54,recorded
2,k222,cp2k_native,XIII,28,-2141.196642339084065,6.872360668574,2.120000,+4.752360668574,Ih,59f633892230ee15a17380a50eb61d3e5ef4e9b882c035ddfa2678f5c90c2965,recorded
2,k222,cp2k_native,XIV,12,-918.599430051627451,-199.607037291382,1.700000,-201.307037291382,Ih,ce9ec5cc01e3754008517ef236b111d70ed108f733fdbec3d57eea5680afe72d,recorded
