mesh_n,phase,water_molecules_primitive,water_molecules_supercell,mstore_energy_Ha_supercell,mstore_energy_Ha_per_primitive,qualification
4,Ih,12,768,-58718.742213584941000,-917.480347087264703,PASS
4,II,12,768,-58719.196064210977000,-917.487438503296516,PASS
4,III,12,768,-58718.341850225326000,-917.474091409770719,PASS
4,IV,16,1024,-78291.137320246547000,-1223.299020628852297,PASS
4,VI,10,640,-48932.349633590304000,-764.567963024848500,PASS
4,VII,12,768,-58728.371991672808000,-917.630812369887625,PASS
4,VIII,8,512,-39146.284774654559000,-611.660699603977484,PASS
4,IX,12,768,-58718.847394459117000,-917.481990538423703,PASS
4,XI,8,512,-39147.260416288154000,-611.675944004502406,PASS
4,XIV,12,768,-58722.296145496708000,-917.535877273386062,PASS
4,XV,10,640,-48932.339311837764000,-764.567801747465062,PASS
4,XVII,6,384,-29359.373291369586000,-458.740207677649781,PASS
