phase,atom_count,water_molecule_count,coordinate_mode,poscar_sha256,extxyz_sha256
Ih,36,12,absolute Cartesian Angstrom,9aa350879d43ac7445bef16ad619abbdc73a6d8f19a29ff329bf5e6b1113c9a5,0ae3cf4a4d28af66681e75559198ea90a0071be797078b11bdac933f175a3995
II,36,12,absolute Cartesian Angstrom,df58c1793e42fde72ca4b180ca8a064e9970b5cafb0375af132555c7ce6014ae,2e0433a68b3cdce41584c301d4613144dc03ea239cc2087b0de8d619783687bd
III,36,12,absolute Cartesian Angstrom,e02513be90d29d54c9a3b7b9d550a5b24f68d7cfa3ac49fceb6395c86a1c6352,a9de20d7bad20b8c61906ec42cd0bdea32e93c2d508bf5928a82741a4674a75e
IV,48,16,absolute Cartesian Angstrom,87e98760385cf3674274809f5c0cf286d82d498ca32ed6ae628ab9788a8cfa4e,1494dc6a602c7c12dd5de1c8831a7152515b1109bf694923093698781d58b90f
VI,30,10,absolute Cartesian Angstrom,bdbf876e7a1c12bc1c198fbbee3d47fd501037ed8e81c5458d4d4ba259d30ba2,c370eee1e77fbc490a493fc4065fa656ebe3d15cd54f32eccb6fe97a31a9f7af
VII,36,12,absolute Cartesian Angstrom,b45fed8bcdd9050ca302bec8828e752859c700a23f60fcdec9229ad410e889fa,1509fb9d7af8b1e6a0d63823f280e2b17590d0b2b805f391651ac53106b13aeb
VIII,24,8,absolute Cartesian Angstrom,aaec8cece8b97380b3bfedc019f0e268fa1e00f019d7f12de02790879244e453,dea82fe46075ea42c20060b374c214dbe3031497a795302944c273e94474a912
IX,36,12,absolute Cartesian Angstrom,1ff6d5c95fcdf733d13ba53e53335411da5f0f16ad0bc9349b9215ae6d08ade3,6ed5f77ea5760475bc14fc97ec21e046b6f28975b47b3183c954fd8cd3070b5a
XI,24,8,absolute Cartesian Angstrom,1d8179172ae08b30df8afcab7afe059423aba0a965490649110cfc45df5d1956,49ea52885880a1cbd32f58b6f1857d888f135b40e2871bec89662c1e55effcda
XIII,84,28,absolute Cartesian Angstrom,e312c0cda85b25ceeb4d8e022c270ab642d9b9033ad4309efe1dc9b707695a2c,93a6524e07c59350e8cb01b6cdd2ebc7535f93ca8d6f0330a1e9e98466c17556
XIV,36,12,absolute Cartesian Angstrom,31a08202cdca25ce13ed9fb538367ff86fbe4558821ab34a7149d6e185a03a8c,896021d21d1a0aa407df5e7ded586bc007622502c3ec1c1353ea9cf416fd396b
XV,30,10,absolute Cartesian Angstrom,8e03a362df5eba3f6a59021584b678bf7963501283e55ed40d83afcbe9c0962d,0e6d82b42b518ba104bf7d5eae511526b543f6e9b54c289d2340e70176669f92
XVII,18,6,absolute Cartesian Angstrom,19f9494c99dffcb5bfcd7d4c7dccf35fd4be806648b426c0f1816a05c7228681,c83c1cd60a9dabd11d4024a8c8368684b8048d515972908e5d4e0fb941bf676f
