mesh_n,phase,author_pbc_total_Ha,author_pbc_Ha_per_primitive,current_cli_total_Ha,current_cli_Ha_per_primitive,author_minus_current_Ha_per_primitive
2,Ih,-7341.496717980231551,-917.687089747528944,-7341.496915036480459,-917.687114379560057,+2.463203111346957e-05
2,II,-7342.961350294595832,-917.870168786824479,-7342.961423284298689,-917.870177910537336,+9.123712857217470e-06
2,III,-7342.291191348776010,-917.786398918597001,-7342.289247273788533,-917.786155909223567,-2.430093734346883e-04
2,IV,-9787.935409679588702,-1223.491926209948588,-9787.934840110336154,-1223.491855013792019,-7.119615656847600e-05
2,VI,-6119.666063014385145,-764.958257876798143,-6119.662099183538885,-764.957762397942361,-4.954788557824941e-04
2,VII,-7352.468520192123833,-919.058565024015479,-7352.465349096680256,-919.058168637085032,-3.963869304470791e-04
2,VIII,-4897.292840065450946,-612.161605008181368,-4897.292843227700359,-612.161605403462545,+3.952811766794184e-07
2,IX,-7342.038341491068422,-917.754792686383553,-7342.038472602198453,-917.754809075274807,+1.638889125388232e-05
2,XI,-4898.359510829359351,-612.294938853669919,-4898.359140810318422,-612.294892601289803,-4.625238011612964e-05
2,XIII,-17129.573019760264287,-2141.196627470033036,-17129.573138832533004,-2141.196642354066626,+1.488403358962387e-05
2,XIV,-7348.795413230941449,-918.599426653867681,-7348.795440514776601,-918.599430064347075,+3.410479394005961e-06
2,XV,-6119.682746773740291,-764.960343346717536,-6119.682766883997829,-764.960345860499729,+2.513782192181679e-06
2,XVII,-3671.690974937336705,-458.961371867167088,-3671.691066144041997,-458.961383268005250,+1.140083816153492e-05
3,Ih,-24772.388506476152543,-917.495870610227826,-24772.389003958207468,-917.495889035489199,+1.842526137352252e-05
3,II,-24773.505899327916268,-917.537255530663515,-24773.506082630327001,-917.537262319641741,+6.788978225813480e-06
3,III,-24772.677486470271106,-917.506573572973025,-24772.672788390085771,-917.506399570003168,-1.740029698567014e-04
3,IV,-33029.375443382697995,-1223.310201606766668,-33029.374124802896404,-1223.310152770477544,-4.883628912466520e-05
3,VI,-20644.934486806247151,-764.627203215046165,-20644.924568203743547,-764.626835859397943,-3.673556482226559e-04
3,VII,-24791.389840809897578,-918.199623733699923,-24791.380815397824335,-918.199289459178658,-3.342745212648879e-04
3,VIII,-16518.092261046978820,-611.781194853591842,-16518.092269879361993,-611.781195180717077,+3.271252353442833e-07
3,IX,-24772.692397990518657,-917.507125851500746,-24772.692704368997511,-917.507137198851751,+1.134735100549733e-05
3,XI,-16520.070729583138018,-611.854471466042128,-16520.069787712684047,-611.854436581951290,-3.488409083729493e-05
3,XIII,-57801.973876482137712,-2140.813847277116110,-57801.974163662758656,-2140.813857913435641,+1.063631953002186e-05
3,XIV,-24782.742566413766326,-917.879354311621000,-24782.742655713856948,-917.879357619031794,+3.307410793240706e-06
3,XV,-20644.947597178015712,-764.627688784371003,-20644.947652334889426,-764.627690827218089,+2.042847086158872e-06
3,XVII,-12386.840057760608033,-458.771853991133639,-12386.840304961388028,-458.771863146718090,+9.155584450581955e-06
