mesh_n,phase,dmc_reference_kj_mol_per_water,current_save_tblite_kj_mol_per_water,author_pbc_kj_mol_per_water,author_minus_current_kj_mol_per_water,current_error_kj_mol_per_water,author_error_kj_mol_per_water
2,II,0.310000000000,-40.052769525987,-40.056162616318,-0.003393090331,-40.362769525987,-40.366162616318
2,III,1.250000000000,-21.669458356542,-21.728016057439,-0.058557700896,-22.919458356542,-22.978016057439
2,IV,3.830000000000,14.926647900400,14.909575775296,-0.017072125104,+11.096647900400,+11.079575775296
2,VI,1.780000000000,-57.367276042161,-57.502753280215,-0.135477238054,-59.147276042161,-59.282753280215
2,VII,4.990000000000,-299.975204734206,-300.067320161804,-0.092115427597,-304.965204734207,-305.057320161804
2,VIII,4.230000000000,-121.493622969605,-121.498882525679,-0.005259556074,-125.723622969605,-125.728882525679
2,IX,0.600000000000,-14.811033257812,-14.812836787859,-0.001803530047,-15.411033257812,-15.412836787859
2,XI,0.160000000000,-165.236809175292,-165.257377908596,-0.020568733304,-165.396809175292,-165.417377908596
2,XIII,2.120000000000,6.872357658840,6.868364020212,-0.003993638628,+4.752357658840,+4.748364020212
2,XIV,1.700000000000,-199.607041679182,-199.611684777200,-0.004643098017,-201.307041679182,-201.311684777200
2,XV,1.740000000000,-58.045564043069,-58.050293332028,-0.004729288959,-59.785564043069,-59.790293332028
2,XVII,1.750000000000,-51.558720954546,-51.559121420866,-0.000400466320,-53.308720954546,-53.309121420866
3,II,0.310000000000,-9.052128547127,-9.054674468559,-0.002545921433,-9.362128547127,-9.364674468559
3,III,1.250000000000,-2.299617046813,-2.341718734421,-0.042101687607,-3.549617046813,-3.591718734421
3,IV,3.830000000000,2.904340308733,2.892295286943,-0.012045021790,-0.925659691267,-0.937704713057
3,VI,1.780000000000,-12.321031296411,-12.421511801622,-0.100480505212,-14.101031296411,-14.201511801622
3,VII,4.990000000000,-153.898129813835,-153.975297576434,-0.077167762599,-158.888129813835,-158.965297576434
3,VIII,4.230000000000,-38.486266175428,-38.490190110106,-0.003923934678,-42.716266175428,-42.720190110106
3,IX,0.600000000000,-2.461004069725,-2.462552657305,-0.001548587580,-3.061004069725,-3.062552657305
3,XI,0.160000000000,-62.523175228808,-62.538655042867,-0.015479814060,-62.683175228808,-62.698655042867
3,XIII,2.120000000000,0.926723486061,0.923689537732,-0.003033948329,-1.193276513939,-1.196310462268
3,XIV,1.700000000000,-83.899718939646,-83.903026598902,-0.003307659256,-85.599718939646,-85.603026598902
3,XV,1.740000000000,-12.545503066618,-12.548998010281,-0.003494943663,-14.285503066618,-14.288998010281
3,XVII,1.750000000000,-10.466391951917,-10.466416914384,-0.000024962466,-12.216391951917,-12.216416914384
