method,mesh_n,phase_count,me_kj_mol_per_H2O,mae_kj_mol_per_H2O,rmse_kj_mol_per_H2O,maxae_kj_mol_per_H2O
CP2K-native pbc provider,1,12,-155.637627553467,163.834465429086,218.167762082667,496.863082184693
CP2K-native pbc provider,2,12,-86.039873197433,88.681375103720,125.546489156416,304.965226317139
CP2K-native pbc provider,3,12,-34.048487494128,34.048487494128,57.001948941458,158.888146955623
CP2K-native pbc provider,4,12,-11.363141476874,11.365480834036,21.957919977843,68.945253819072
CP2K-native pbc provider,5,12,-4.281840289795,4.346421804936,8.237871337077,26.850960292900
author pbc CLI,2,12,-86.068875756041,88.706865721959,125.574840258610,305.057320161804
author pbc CLI,3,12,-34.070588090850,34.070588090850,57.024385482952,158.965297576434
current pbc CLI,1,12,-155.637628172801,163.834466022141,218.167762871866,496.863083815613
current pbc CLI,2,12,-86.039874645610,88.681375574198,125.546486754397,304.965204903283
current pbc CLI,3,12,-34.048491879836,34.048491879836,57.001947496075,158.888129900577
current pbc CLI,4,12,-11.363145705679,11.365484028629,21.957916768965,68.945235096392
historical mstore-inorganic CLI,1,12,-127.290755088539,130.899820154311,155.257907693709,264.186245399110
historical mstore-inorganic CLI,2,12,-46.837497635311,48.710763704892,66.480998967341,156.937965741842
historical mstore-inorganic CLI,3,12,-17.830623485072,17.830623485072,29.482893777393,82.436667006181
