method,mesh_n,phase,relative_energy_kj_mol_per_H2O,dmc_reference_kj_mol_per_H2O,error_kj_mol_per_H2O,absolute_error_kj_mol_per_H2O,qualification
historical mstore-inorganic CLI,1,II,21.964390394634,0.310000,21.654390394634,21.654390394634,PASS
historical mstore-inorganic CLI,1,III,-171.325848518761,1.250000,-172.575848518761,172.575848518761,PASS
historical mstore-inorganic CLI,1,IV,-64.481456672543,3.830000,-68.311456672543,68.311456672543,PASS
historical mstore-inorganic CLI,1,VI,-55.475838468692,1.780000,-57.255838468692,57.255838468692,PASS
historical mstore-inorganic CLI,1,VII,-259.196245399110,4.990000,-264.186245399110,264.186245399110,PASS
historical mstore-inorganic CLI,1,VIII,-252.839445286494,4.230000,-257.069445286494,257.069445286494,PASS
historical mstore-inorganic CLI,1,IX,-146.178117427308,0.600000,-146.778117427308,146.778117427308,PASS
historical mstore-inorganic CLI,1,XI,-224.393887966522,0.160000,-224.553887966522,224.553887966522,PASS
historical mstore-inorganic CLI,1,XIII,-64.059726187434,2.120000,-66.179726187434,66.179726187434,PASS
historical mstore-inorganic CLI,1,XIV,-178.832658863162,1.700000,-180.532658863162,180.532658863162,PASS
historical mstore-inorganic CLI,1,XV,-55.925167433801,1.740000,-57.665167433801,57.665167433801,PASS
historical mstore-inorganic CLI,1,XVII,-52.285059233270,1.750000,-54.035059233270,54.035059233270,PASS
historical mstore-inorganic CLI,2,II,11.549596417487,0.310000,11.239596417487,11.239596417487,PASS
historical mstore-inorganic CLI,2,III,-29.811523391510,1.250000,-31.061523391510,31.061523391510,PASS
historical mstore-inorganic CLI,2,IV,0.256599145141,3.830000,-3.573400854859,3.573400854859,PASS
historical mstore-inorganic CLI,2,VI,-28.460677817350,1.780000,-30.240677817350,30.240677817350,PASS
historical mstore-inorganic CLI,2,VII,-151.947965741842,4.990000,-156.937965741842,156.937965741842,PASS
historical mstore-inorganic CLI,2,VIII,-77.417542603032,4.230000,-81.647542603032,81.647542603032,PASS
historical mstore-inorganic CLI,2,IX,-24.470250890265,0.600000,-25.070250890265,25.070250890265,PASS
historical mstore-inorganic CLI,2,XI,-84.549975905731,0.160000,-84.709975905731,84.709975905731,PASS
historical mstore-inorganic CLI,2,XIII,0.922244833924,2.120000,-1.197755166076,1.197755166076,PASS
historical mstore-inorganic CLI,2,XIV,-99.557194036284,1.700000,-101.257194036284,101.257194036284,PASS
historical mstore-inorganic CLI,2,XV,-28.664951204286,1.740000,-30.404951204286,30.404951204286,PASS
historical mstore-inorganic CLI,2,XVII,-25.438330429983,1.750000,-27.188330429983,27.188330429983,PASS
historical mstore-inorganic CLI,3,II,-0.279988209907,0.310000,-0.589988209907,0.589988209907,PASS
historical mstore-inorganic CLI,3,III,-1.720202220170,1.250000,-2.970202220170,2.970202220170,PASS
historical mstore-inorganic CLI,3,IV,1.653583137544,3.830000,-2.176416862456,2.176416862456,PASS
historical mstore-inorganic CLI,3,VI,-5.912105883998,1.780000,-7.692105883998,7.692105883998,PASS
historical mstore-inorganic CLI,3,VII,-77.446667006181,4.990000,-82.436667006181,82.436667006181,PASS
historical mstore-inorganic CLI,3,VIII,-19.706722185486,4.230000,-23.936722185486,23.936722185486,PASS
historical mstore-inorganic CLI,3,IX,-2.774771626398,0.600000,-3.374771626398,3.374771626398,PASS
historical mstore-inorganic CLI,3,XI,-31.168750655955,0.160000,-31.328750655955,31.328750655955,PASS
historical mstore-inorganic CLI,3,XIII,0.442953962487,2.120000,-1.677046037513,1.677046037513,PASS
historical mstore-inorganic CLI,3,XIV,-41.779791859131,1.700000,-43.479791859131,43.479791859131,PASS
historical mstore-inorganic CLI,3,XV,-5.934441749535,1.740000,-7.674441749535,7.674441749535,PASS
historical mstore-inorganic CLI,3,XVII,-4.880577524129,1.750000,-6.630577524129,6.630577524129,PASS
