method,element,multiplicity,spin_2S,cp2k_energy_hartree,cli_energy_hartree,delta_cp2k_minus_cli_hartree,tolerance_hartree,passed,cli_provider,cp2k_scf_contract,cohesive_energy_atom_reference,campaign_stamp_issue
GXTB,Al,2,1,-242.336429147711,-242.336429147698,-1.278976924368e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,B,2,1,-24.643801024785,-24.643801024768,-1.675815042290e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,C,3,2,-37.844189320546,-37.844189320521,-2.498978801668e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,Cl,2,1,-460.127206051315,-460.127206051290,-2.461320036673e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,F,2,1,-99.748659234350,-99.748659234322,-2.864908310585e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,H,2,1,-0.496262080384,-0.496262080384,-3.330669073875e-16,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,Li,2,1,-7.471859903412,-7.471859903404,-7.830180948076e-12,1.000e-06,True,save_tblite,li_native_gxtb_fdiis_diagonalization_300K_interface_gate,save_tblite_cli_only,
GXTB,Mg,1,0,-200.057233885419,-200.057233885409,-1.062971932697e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,N,4,3,-54.594621044680,-54.594621044646,-3.364419853824e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,O,3,2,-75.076628851397,-75.076628851373,-2.481215233274e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,P,4,3,-341.242537445543,-341.242537445517,-2.512479113648e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,S,3,2,-398.091033768169,-398.091033768152,-1.665512172622e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
GXTB,Si,3,2,-289.347872226334,-289.347872226314,-1.944044925040e-11,1.000e-06,True,save_tblite,gamma_no_smear_ot_interface_gate,save_tblite_cli_only,
