solid,structure,method,eos_mesh,a_exp_A,n_requested,n_completed,n_converged_raw,n_charge_collapsed,a_eos_A,energy_fit_hartree,fit_status,fit_rmse_hartree,n_points,grid_min_a_A,grid_min_scale,grid_min_energy_hartree,n_explicit_excluded,n_unresolved_branch_candidates,topology_reversal_count,topology_max_reversal_hartree
C,diamond,GFN1,k444,3.553,11,11,11,0,3.5585141715,-17.085037979452,quadratic,0.002550891384,11,3.5530000000,1.00000,-17.084866272431,,,,
C,diamond,GFN2,k444,3.553,11,11,11,0,3.5549155308,-17.315820243960,quadratic,0.002470071090,11,3.5530000000,1.00000,-17.315712610976,,,,
C,diamond,GXTB,k444,3.553,11,11,11,0,3.4797408349,-305.097406065110,quadratic,0.006883571772,11,3.4819400000,0.98000,-305.089866775703,0,0,,
Si,diamond,GFN1,k444,5.421,11,11,11,0,5.6186809629,-14.731778215691,quadratic,0.003130808347,11,5.5294200000,1.02000,-14.731159633135,,,,
Si,diamond,GFN2,k444,5.421,11,11,11,0,5.4461737531,-13.657395468692,quadratic,0.003604988136,11,5.4210000000,1.00000,-13.656956881336,,,,
Si,diamond,GXTB,k444,5.421,11,11,11,0,5.2593601519,-2316.275179673034,quadratic,0.003737171119,11,5.3125800000,0.98000,-2316.269184683675,0,0,,
SiC,zincblende,GFN1,k444,4.347,11,11,11,0,4.5233906186,-15.907059065762,quadratic,0.003128938809,11,4.4339400000,1.02000,-15.903484392155,,,,
SiC,zincblende,GFN2,k444,4.347,11,11,11,0,4.4127481150,-15.451557300956,quadratic,0.003779859214,11,4.4339400000,1.02000,-15.455152106108,,,,
SiC,zincblende,GXTB,k444,4.347,11,11,11,0,4.3496307157,-1310.737537778215,quadratic,0.002567704744,11,4.3470000000,1.00000,-1310.737418351050,0,0,,
BN,zincblende,GFN1,k444,3.593,11,11,11,0,3.6251923585,-18.821412707934,quadratic,0.002195704279,11,3.5930000000,1.00000,-18.819703456011,,,,
BN,zincblende,GFN2,k444,3.593,11,11,11,0,3.6301501363,-17.039159961680,quadratic,0.002099322028,11,3.5930000000,1.00000,-17.036975655527,,,,
BN,zincblende,GXTB,k444,3.593,11,11,11,0,3.4268411832,-319.127955132527,quadratic,0.009731590563,11,3.3774200000,0.94000,-319.112058158296,0,0,,
BP,zincblende,GFN1,k444,4.525,11,11,11,0,4.5784968981,-16.303794509903,quadratic,0.002355911030,11,4.6155000000,1.02000,-16.305366501592,,,,
BP,zincblende,GFN2,k444,4.525,11,11,11,0,4.5501257098,-15.137369745526,quadratic,0.001770492108,11,4.5250000000,1.00000,-15.136781194170,,,,
BP,zincblende,GXTB,k444,4.525,11,11,11,0,4.4429898224,-1465.134033152628,quadratic,0.003607396225,11,4.4345000000,0.98000,-1465.130007258753,0,0,,
AlN,zincblende,GFN1,k444,4.368,11,11,11,0,4.6121210683,-18.127519958174,quadratic,0.003905826786,11,4.6300800000,1.06000,-18.131825681988,,,,
AlN,zincblende,GFN2,k444,4.368,11,11,11,0,4.3128155605,-16.521261837102,quadratic,0.006003546608,11,4.2806400000,0.98000,-16.513185201782,,,,
