solid,method,mesh,scale,a_A,energy_hartree,completed,valid_for_eos,diagnostic,scf_strategy,classification_resolution,classification_rationale
C,GFN1,k444,0.82000,2.9134600000,-15.761897735698,True,True,,default_tblite_mixer,,
C,GFN1,k444,0.88000,3.1266400000,-16.610557532964,True,True,,default_tblite_mixer,,
C,GFN1,k444,0.94000,3.3398200000,-16.991140446749,True,True,,default_tblite_mixer,,
C,GFN1,k444,0.98000,3.4819400000,-17.077571906946,True,True,,default_tblite_mixer,,
C,GFN1,k444,1.00000,3.5530000000,-17.084866272431,True,True,,default_tblite_mixer,,
C,GFN1,k444,1.02000,3.6240600000,-17.072956799564,True,True,,default_tblite_mixer,,
C,GFN1,k444,1.06000,3.7661800000,-17.002795849808,True,True,,default_tblite_mixer,,
C,GFN1,k444,1.12000,3.9793600000,-16.814759424878,True,True,,default_tblite_mixer,,
C,GFN1,k444,1.20000,4.2636000000,-16.480553758775,True,True,,default_tblite_mixer,,
C,GFN1,k444,1.30000,4.6189000000,-16.000396676896,True,True,,default_tblite_mixer,,
C,GFN1,k444,1.45000,5.1518500000,-15.329926502871,True,True,,default_tblite_mixer,,
C,GFN2,k444,0.82000,2.9134600000,-16.019151757416,True,True,,default_tblite_mixer,,
C,GFN2,k444,0.88000,3.1266400000,-16.849721320977,True,True,,default_tblite_mixer,,
C,GFN2,k444,0.94000,3.3398200000,-17.224384821601,True,True,,default_tblite_mixer,,
C,GFN2,k444,0.98000,3.4819400000,-17.309199091495,True,True,,default_tblite_mixer,,
C,GFN2,k444,1.00000,3.5530000000,-17.315712610976,True,True,,default_tblite_mixer,,
C,GFN2,k444,1.02000,3.6240600000,-17.302852320245,True,True,,default_tblite_mixer,,
C,GFN2,k444,1.06000,3.7661800000,-17.230038511922,True,True,,default_tblite_mixer,,
C,GFN2,k444,1.12000,3.9793600000,-17.036486065956,True,True,,default_tblite_mixer,,
C,GFN2,k444,1.20000,4.2636000000,-16.696409910131,True,True,,default_tblite_mixer,,
C,GFN2,k444,1.30000,4.6189000000,-16.225907864304,True,True,,default_tblite_mixer,,
C,GFN2,k444,1.45000,5.1518500000,-15.628031607964,True,True,,default_tblite_mixer,,
C,GXTB,k444,0.82000,2.9134600000,-304.017727965277,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,0.88000,3.1266400000,-304.779569781352,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,0.94000,3.3398200000,-305.057302578583,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,0.98000,3.4819400000,-305.089866775703,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,1.00000,3.5530000000,-305.077495488195,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,1.02000,3.6240600000,-305.051458996376,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,1.06000,3.7661800000,-304.970466637310,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,1.12000,3.9793600000,-304.807915987206,True,True,,native_gxtb_fdiis,,
C,GXTB,k444,1.20000,4.2636000000,-304.560051137293,True,True,,native_gxtb_fdiis,,
