solid,structure,formula,a_exp_A,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_exp_eV_per_atom,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
C,diamond,C,3.553,3.547,3.54,3.55,3.554,7.55,5.38,7.98,7.65,7.5
Si,diamond,Si,5.421,5.508,5.399,5.425,5.437,4.7,3.03,4.97,4.69,4.56
SiC,zincblende,SiC,4.347,4.371,4.35,4.358,4.362,6.47,4.53,6.79,6.49,6.35
BN,zincblende,BN,3.593,3.596,3.596,3.603,3.606,6.76,4.78,7.13,6.92,6.82
BP,zincblende,BP,4.525,4.584,4.495,4.517,4.528,5.14,3.42,5.58,5.3,5.16
AlN,zincblende,AlN,4.368,4.365,4.388,4.389,4.389,5.85,3.86,6.0,5.85,5.78
AlP,zincblende,AlP,5.448,5.542,5.444,5.465,5.475,4.31,2.71,4.42,4.23,4.14
MgS,rocksalt,MgS,5.188,5.281,5.171,5.191,5.201,4.04,2.78,4.2,3.97,3.86
LiF,rocksalt,LiF,3.973,3.964,3.99,3.992,3.993,4.46,3.41,4.58,4.49,4.44
LiCl,rocksalt,LiCl,5.072,5.253,5.021,5.059,5.078,3.58,2.73,3.69,3.58,3.52
