case,group,periodicity,L_angstrom,cp2k_energy_Eh,cli_energy_Eh,cp2k_cli_absdiff_Eh,cp2k_cli_gradient_sumdiff_Eh_per_bohr,cp2k_cli_gradient_maxdiff_Eh_per_bohr,scf_steps_cp2k,delta_E_vs_matching_0D_Eh,delta_E_vs_matching_0D_kJ_per_mol,max_component_gradient_delta_vs_matching_0D_Eh_per_bohr,max_component_force_delta_vs_matching_0D_eV_per_angstrom,rms_component_gradient_delta_vs_matching_0D_Eh_per_bohr,current_minus_archived_cli_energy_Eh,max_current_minus_archived_cli_gradient_Eh_per_bohr
H2O_0D,main,0D,,-76.43250214720892,-76.43250214645542,7.535021495642e-10,8.545402014282e-08,2.136684097709e-08,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2O_L08,main,3D,8.0,-76.52907636474212,-76.52907636490345,1.61321622727e-10,5.839357842693e-08,1.5264221713e-08,12,-0.09657421844802627,-253.5555757183461,0.008055655587757289,0.4142384651994885,0.0032891958596482037,0.0,0.0
H2O_L10,main,3D,10.0,-76.492086050521,-76.49208605055604,3.504396772769e-11,7.024552107446e-08,1.810464782953e-08,12,-0.05958390410062009,-156.43751873498297,0.00569695585085557,0.2929492481721972,0.0023259563312422195,0.0,0.0
H2O_L12,main,3D,12.0,-76.46794299864592,-76.46794299842387,2.220588157797e-10,7.79620166594e-08,1.967886643223e-08,11,-0.035440851968445486,-93.04994406601412,0.003562193215002188,0.18317533986546053,0.001454341988028328,0.0,0.0
H2O_L15,main,3D,15.0,-76.44687789902204,-76.44687789858013,4.419149490786e-10,8.280905488681e-08,2.070731942166e-08,11,-0.014375752124706764,-37.74353202067002,0.001480887332212688,0.07615028832183875,0.0006046065230498311,0.0,0.0
H2O_L20,main,3D,20.0,-76.43500543631257,-76.43500543564028,6.722871148668e-10,8.467168299219e-08,2.120320978516e-08,11,-0.002503289184858204,-6.572384852359147,0.0002354094608417595,0.01210524117996436,9.62129249805261e-05,0.0,0.0
H2O_L30,main,3D,30.0,-76.43256070236592,-76.43256070161515,7.507736654588e-10,8.50680592228e-08,2.129980526677e-08,11,-5.855515972541525e-05,-0.15373655074876572,1.079712644037889e-05,0.0005552105643673061,6.274576797035022e-06,0.0,0.0
H2O_L40,main,3D,40.0,-76.4325021764569,-76.43250217570336,7.535305712736e-10,8.511512023427e-08,2.130945174483e-08,11,-2.9247942734400567e-08,-7.679046310469745e-05,1.0352321769033224e-05,0.0005323377885435958,6.150060557264856e-06,0.0,0.0
H2O_L50,main,3D,50.0,-76.43249988981387,-76.43249988906024,7.536300472566e-10,8.513021725131e-08,2.131240843528e-08,11,2.25739518100454e-06,0.005926790233891084,9.472470801921706e-06,0.00048709403274369955,5.554171957199293e-06,0.0,0.0
H2O_L60,main,3D,60.0,-76.43249938857753,-76.4324993878239,7.536300472566e-10,8.513682475555e-08,2.131369598868e-08,11,2.758631524102384e-06,0.0072427860719886964,9.468026824381581e-06,0.0004868655142307681,5.306988867331667e-06,0.0,0.0
