case,periodicity,L_angstrom,cp2k_energy_Eh,delta_E_vs_0D_kJ_per_mol,max_component_force_delta_vs_0D_eV_per_angstrom
H2O_0D,0D,,-76.43250214720892,0.0,0.0
H2O_L08,3D,8.0,-76.52907636474212,-253.5555733164766,0.4142384651994885
H2O_L10,3D,10.0,-76.492086050521,-156.43751666465542,0.2929492481721972
H2O_L12,3D,12.0,-76.46794299864592,-93.04994267070984,0.18317533986546053
H2O_L15,3D,15.0,-76.44687789902204,-37.743531202597936,0.07615028832183875
H2O_L20,3D,20.0,-76.43500543631257,-6.572384639129103,0.01210524117996436
H2O_L30,3D,30.0,-76.43256070236592,-0.15373654358513167,0.0005552105643673061
H2O_L40,3D,40.0,-76.4325021764569,-0.00007679053772588532,0.0005323377885435958
H2O_L50,3D,50.0,-76.43249988981387,0.005926789898095738,0.00048709403274369955
H2O_L60,3D,60.0,-76.43249938857753,0.007242785736193351,0.0004868655142307681
H2O_L80,3D,80.0,-76.43249901070477,0.008234890509696965,0.00048664063919322774
H2O_L100,3D,100.0,-76.43249887564777,0.008589482633818063,0.00048651778243574044
H2O_L150,3D,150.0,-76.43249877614274,0.008850733054192308,0.00048643434816795524
H2O_L200,3D,200.0,-76.43249875228274,0.008913377466782047,0.00048642755906377525
