calculation,mesh,method,system,label,complete,lattice_energy_kJmol,x23b_ref_lattice_energy_kJmol,error_kJmol
single_point,gamma,GFN1-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,96.918544,90.000000,6.918544
single_point,k111,GFN1-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,96.918544,90.000000,6.918544
single_point,k222,GFN1-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,88.998318,90.000000,-1.001682
single_point,k333,GFN1-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,89.022686,90.000000,-0.977314
cell_opt,k222,GFN1-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,107.738878,90.000000,17.738878
single_point,gamma,GFN2-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,72.863003,90.000000,-17.136997
single_point,k111,GFN2-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,72.863003,90.000000,-17.136997
single_point,k222,GFN2-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,60.586024,90.000000,-29.413976
single_point,k333,GFN2-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,60.617159,90.000000,-29.382841
cell_opt,k222,GFN2-xTB,14-cyclohexanedione,"1,4-Cyclohexanedione",True,77.146801,90.000000,-12.853199
single_point,gamma,GFN1-xTB,acetic_acid,Acetic acid,True,-181.810491,73.600000,-255.410491
single_point,k111,GFN1-xTB,acetic_acid,Acetic acid,True,-181.810491,73.600000,-255.410491
single_point,k222,GFN1-xTB,acetic_acid,Acetic acid,True,-153.639635,73.600000,-227.239635
single_point,k333,GFN1-xTB,acetic_acid,Acetic acid,True,-153.533293,73.600000,-227.133293
cell_opt,k222,GFN1-xTB,acetic_acid,Acetic acid,True,80.835860,73.600000,7.235860
single_point,gamma,GFN2-xTB,acetic_acid,Acetic acid,True,-177.780525,73.600000,-251.380525
single_point,k111,GFN2-xTB,acetic_acid,Acetic acid,True,-177.780525,73.600000,-251.380525
single_point,k222,GFN2-xTB,acetic_acid,Acetic acid,True,-149.170215,73.600000,-222.770215
single_point,k333,GFN2-xTB,acetic_acid,Acetic acid,True,-148.992891,73.600000,-222.592891
cell_opt,k222,GFN2-xTB,acetic_acid,Acetic acid,True,71.104587,73.600000,-2.495413
single_point,gamma,GFN1-xTB,adamantane,Adamantane,True,-595.540988,71.800000,-667.340988
single_point,k111,GFN1-xTB,adamantane,Adamantane,True,-595.540988,71.800000,-667.340988
single_point,k222,GFN1-xTB,adamantane,Adamantane,True,-576.089524,71.800000,-647.889524
single_point,k333,GFN1-xTB,adamantane,Adamantane,True,-576.065395,71.800000,-647.865395
cell_opt,k222,GFN1-xTB,adamantane,Adamantane,True,63.483900,71.800000,-8.316100
single_point,gamma,GFN2-xTB,adamantane,Adamantane,True,-595.927689,71.800000,-667.727689
single_point,k111,GFN2-xTB,adamantane,Adamantane,True,-595.927689,71.800000,-667.727689
single_point,k222,GFN2-xTB,adamantane,Adamantane,True,-571.097664,71.800000,-642.897664
single_point,k333,GFN2-xTB,adamantane,Adamantane,True,-571.052689,71.800000,-642.852689
cell_opt,k222,GFN2-xTB,adamantane,Adamantane,True,38.238032,71.800000,-33.561968
single_point,gamma,GFN1-xTB,ammonia,Ammonia,True,22.597337,38.700000,-16.102663
single_point,k111,GFN1-xTB,ammonia,Ammonia,True,22.597337,38.700000,-16.102663
single_point,k222,GFN1-xTB,ammonia,Ammonia,True,27.250075,38.700000,-11.449925
single_point,k333,GFN1-xTB,ammonia,Ammonia,True,27.270352,38.700000,-11.429648
cell_opt,k222,GFN1-xTB,ammonia,Ammonia,True,36.265605,38.700000,-2.434395
single_point,gamma,GFN2-xTB,ammonia,Ammonia,True,14.936446,38.700000,-23.763554
single_point,k111,GFN2-xTB,ammonia,Ammonia,True,14.936446,38.700000,-23.763554
single_point,k222,GFN2-xTB,ammonia,Ammonia,True,18.668656,38.700000,-20.031344
single_point,k333,GFN2-xTB,ammonia,Ammonia,True,18.672776,38.700000,-20.027224
cell_opt,k222,GFN2-xTB,ammonia,Ammonia,True,24.315960,38.700000,-14.384040
single_point,gamma,GFN1-xTB,anthracene,Anthracene,True,-96.461375,110.400000,-206.861375
single_point,k111,GFN1-xTB,anthracene,Anthracene,True,-96.461375,110.400000,-206.861375
single_point,k222,GFN1-xTB,anthracene,Anthracene,True,-101.296239,110.400000,-211.696239
single_point,k333,GFN1-xTB,anthracene,Anthracene,True,-101.230624,110.400000,-211.630624
cell_opt,k222,GFN1-xTB,anthracene,Anthracene,True,114.681300,110.400000,4.281300
single_point,gamma,GFN2-xTB,anthracene,Anthracene,True,-91.295315,110.400000,-201.695315
single_point,k111,GFN2-xTB,anthracene,Anthracene,True,-91.295315,110.400000,-201.695315
single_point,k222,GFN2-xTB,anthracene,Anthracene,True,-97.230054,110.400000,-207.630054
single_point,k333,GFN2-xTB,anthracene,Anthracene,True,-97.163136,110.400000,-207.563136
cell_opt,k222,GFN2-xTB,anthracene,Anthracene,True,97.077587,110.400000,-13.322413
single_point,gamma,GFN1-xTB,benzene,Benzene,True,42.968423,54.800000,-11.831577
single_point,k111,GFN1-xTB,benzene,Benzene,True,42.968423,54.800000,-11.831577
single_point,k222,GFN1-xTB,benzene,Benzene,True,43.094641,54.800000,-11.705359
single_point,k333,GFN1-xTB,benzene,Benzene,True,43.094536,54.800000,-11.705464
cell_opt,k222,GFN1-xTB,benzene,Benzene,True,46.395681,54.800000,-8.404319
single_point,gamma,GFN2-xTB,benzene,Benzene,True,37.519588,54.800000,-17.280412
single_point,k111,GFN2-xTB,benzene,Benzene,True,37.519588,54.800000,-17.280412
single_point,k222,GFN2-xTB,benzene,Benzene,True,37.846320,54.800000,-16.953680
single_point,k333,GFN2-xTB,benzene,Benzene,True,37.846341,54.800000,-16.953659
cell_opt,k222,GFN2-xTB,benzene,Benzene,True,40.458029,54.800000,-14.341971
single_point,gamma,GFN1-xTB,co2,Carbon dioxide,True,15.819430,29.400000,-13.580570
single_point,k111,GFN1-xTB,co2,Carbon dioxide,True,15.819430,29.400000,-13.580570
single_point,k222,GFN1-xTB,co2,Carbon dioxide,True,15.774486,29.400000,-13.625514
single_point,k333,GFN1-xTB,co2,Carbon dioxide,True,15.774524,29.400000,-13.625476
cell_opt,k222,GFN1-xTB,co2,Carbon dioxide,True,15.902661,29.400000,-13.497339
single_point,gamma,GFN2-xTB,co2,Carbon dioxide,True,19.955327,29.400000,-9.444673
single_point,k111,GFN2-xTB,co2,Carbon dioxide,True,19.955327,29.400000,-9.444673
single_point,k222,GFN2-xTB,co2,Carbon dioxide,True,20.049143,29.400000,-9.350857
single_point,k333,GFN2-xTB,co2,Carbon dioxide,True,20.049182,29.400000,-9.350818
cell_opt,k222,GFN2-xTB,co2,Carbon dioxide,True,21.127373,29.400000,-8.272627
single_point,gamma,GFN1-xTB,cyanamide,Cyanamide,True,-18.293995,81.500000,-99.793995
single_point,k111,GFN1-xTB,cyanamide,Cyanamide,True,-18.293995,81.500000,-99.793995
single_point,k222,GFN1-xTB,cyanamide,Cyanamide,True,-17.814937,81.500000,-99.314937
single_point,k333,GFN1-xTB,cyanamide,Cyanamide,True,-17.814572,81.500000,-99.314572
cell_opt,k222,GFN1-xTB,cyanamide,Cyanamide,True,70.072148,81.500000,-11.427852
single_point,gamma,GFN2-xTB,cyanamide,Cyanamide,True,-12.419021,81.500000,-93.919021
single_point,k111,GFN2-xTB,cyanamide,Cyanamide,True,-12.419021,81.500000,-93.919021
single_point,k222,GFN2-xTB,cyanamide,Cyanamide,True,-11.860750,81.500000,-93.360750
single_point,k333,GFN2-xTB,cyanamide,Cyanamide,True,-11.860810,81.500000,-93.360810
cell_opt,k222,GFN2-xTB,cyanamide,Cyanamide,True,79.100832,81.500000,-2.399168
single_point,gamma,GFN1-xTB,cytosine,Cytosine,True,-51.548276,163.500000,-215.048276
single_point,k111,GFN1-xTB,cytosine,Cytosine,True,-51.548276,163.500000,-215.048276
single_point,k222,GFN1-xTB,cytosine,Cytosine,True,-10.659093,163.500000,-174.159093
single_point,k333,GFN1-xTB,cytosine,Cytosine,True,-10.529066,163.500000,-174.029066
cell_opt,k222,GFN1-xTB,cytosine,Cytosine,True,155.492902,163.500000,-8.007098
single_point,gamma,GFN2-xTB,cytosine,Cytosine,True,-53.725069,163.500000,-217.225069
single_point,k111,GFN2-xTB,cytosine,Cytosine,True,-53.725069,163.500000,-217.225069
single_point,k222,GFN2-xTB,cytosine,Cytosine,True,-8.079862,163.500000,-171.579862
single_point,k333,GFN2-xTB,cytosine,Cytosine,True,-7.937551,163.500000,-171.437551
cell_opt,k222,GFN2-xTB,cytosine,Cytosine,True,156.812039,163.500000,-6.687961
