source,method,system,label,volume_A3,x23b_reported_ref_volume_A3,volume_error_percent
Dolgonos-Hoja-Boese,PBE+D3,14-cyclohexanedione,"1,4-Cyclohexanedione",276.100000,262.500000,5.180952
Dolgonos-Hoja-Boese,PBE+D3,acetic_acid,Acetic acid,297.600000,288.800000,3.047091
Dolgonos-Hoja-Boese,PBE+D3,adamantane,Adamantane,377.800000,357.600000,5.648770
Dolgonos-Hoja-Boese,PBE+D3,ammonia,Ammonia,122.600000,121.500000,0.905350
Dolgonos-Hoja-Boese,PBE+D3,anthracene,Anthracene,449.900000,441.200000,1.971895
Dolgonos-Hoja-Boese,PBE+D3,benzene,Benzene,457.000000,444.300000,2.858429
Dolgonos-Hoja-Boese,PBE+D3,co2,Carbon dioxide,186.400000,164.800000,13.106796
Dolgonos-Hoja-Boese,PBE+D3,cyanamide,Cyanamide,413.600000,407.900000,1.397401
Dolgonos-Hoja-Boese,PBE+D3,cytosine,Cytosine,466.500000,440.300000,5.950488
Dolgonos-Hoja-Boese,PBE+D3,ethylcarbamate,Ethyl carbamate,241.800000,231.200000,4.584775
Dolgonos-Hoja-Boese,PBE+D3,formamide,Formamide,222.800000,211.900000,5.143936
Dolgonos-Hoja-Boese,PBE+D3,hexamine,Hexamine,333.800000,321.600000,3.793532
Dolgonos-Hoja-Boese,PBE+D3,imidazole,Imidazole,345.900000,336.400000,2.824019
Dolgonos-Hoja-Boese,PBE+D3,naphthalene,Naphthalene,337.800000,329.700000,2.456779
Dolgonos-Hoja-Boese,PBE+D3,oxalic_acid_alpha,Oxalic acid alpha,314.500000,293.200000,7.264666
Dolgonos-Hoja-Boese,PBE+D3,oxalic_acid_beta,Oxalic acid beta,158.700000,150.500000,5.448505
Dolgonos-Hoja-Boese,PBE+D3,pyrazine,Pyrazine,196.400000,189.600000,3.586498
Dolgonos-Hoja-Boese,PBE+D3,pyrazole,Pyrazole,704.200000,662.500000,6.294340
Dolgonos-Hoja-Boese,PBE+D3,succinic_acid,Succinic acid,244.900000,233.300000,4.972139
Dolgonos-Hoja-Boese,PBE+D3,triazine,s-Triazine,556.500000,528.000000,5.397727
Dolgonos-Hoja-Boese,PBE+D3,trioxane,s-Trioxane,615.700000,580.700000,6.027209
Dolgonos-Hoja-Boese,PBE+D3,uracil,Uracil,457.400000,442.000000,3.484163
Dolgonos-Hoja-Boese,PBE+D3,urea,Urea,143.800000,140.800000,2.130682
Dolgonos-Hoja-Boese,BLYP+D3,14-cyclohexanedione,"1,4-Cyclohexanedione",267.100000,262.500000,1.752381
Dolgonos-Hoja-Boese,BLYP+D3,acetic_acid,Acetic acid,290.400000,288.800000,0.554017
Dolgonos-Hoja-Boese,BLYP+D3,adamantane,Adamantane,365.000000,357.600000,2.069351
Dolgonos-Hoja-Boese,BLYP+D3,ammonia,Ammonia,123.000000,121.500000,1.234568
Dolgonos-Hoja-Boese,BLYP+D3,anthracene,Anthracene,429.400000,441.200000,-2.674524
Dolgonos-Hoja-Boese,BLYP+D3,benzene,Benzene,435.100000,444.300000,-2.070673
Dolgonos-Hoja-Boese,BLYP+D3,co2,Carbon dioxide,175.800000,164.800000,6.674757
Dolgonos-Hoja-Boese,BLYP+D3,cyanamide,Cyanamide,400.500000,407.900000,-1.814170
Dolgonos-Hoja-Boese,BLYP+D3,cytosine,Cytosine,449.300000,440.300000,2.044061
Dolgonos-Hoja-Boese,BLYP+D3,ethylcarbamate,Ethyl carbamate,234.300000,231.200000,1.340830
Dolgonos-Hoja-Boese,BLYP+D3,formamide,Formamide,214.100000,211.900000,1.038226
Dolgonos-Hoja-Boese,BLYP+D3,hexamine,Hexamine,325.100000,321.600000,1.088308
Dolgonos-Hoja-Boese,BLYP+D3,imidazole,Imidazole,330.200000,336.400000,-1.843044
Dolgonos-Hoja-Boese,BLYP+D3,naphthalene,Naphthalene,322.300000,329.700000,-2.244465
Dolgonos-Hoja-Boese,BLYP+D3,oxalic_acid_alpha,Oxalic acid alpha,309.000000,293.200000,5.388813
Dolgonos-Hoja-Boese,BLYP+D3,oxalic_acid_beta,Oxalic acid beta,153.800000,150.500000,2.192691
Dolgonos-Hoja-Boese,BLYP+D3,pyrazine,Pyrazine,186.600000,189.600000,-1.582278
Dolgonos-Hoja-Boese,BLYP+D3,pyrazole,Pyrazole,676.400000,662.500000,2.098113
Dolgonos-Hoja-Boese,BLYP+D3,succinic_acid,Succinic acid,236.700000,233.300000,1.457351
Dolgonos-Hoja-Boese,BLYP+D3,triazine,s-Triazine,528.800000,528.000000,0.151515
Dolgonos-Hoja-Boese,BLYP+D3,trioxane,s-Trioxane,594.800000,580.700000,2.428104
Dolgonos-Hoja-Boese,BLYP+D3,uracil,Uracil,440.900000,442.000000,-0.248869
Dolgonos-Hoja-Boese,BLYP+D3,urea,Urea,142.800000,140.800000,1.420455
Dolgonos-Hoja-Boese,RPBE+D3,14-cyclohexanedione,"1,4-Cyclohexanedione",282.900000,262.500000,7.771429
Dolgonos-Hoja-Boese,RPBE+D3,acetic_acid,Acetic acid,311.100000,288.800000,7.721607
Dolgonos-Hoja-Boese,RPBE+D3,adamantane,Adamantane,385.700000,357.600000,7.857942
Dolgonos-Hoja-Boese,RPBE+D3,ammonia,Ammonia,127.100000,121.500000,4.609053
Dolgonos-Hoja-Boese,RPBE+D3,anthracene,Anthracene,441.300000,441.200000,0.022665
Dolgonos-Hoja-Boese,RPBE+D3,benzene,Benzene,449.000000,444.300000,1.057844
Dolgonos-Hoja-Boese,RPBE+D3,co2,Carbon dioxide,197.300000,164.800000,19.720874
Dolgonos-Hoja-Boese,RPBE+D3,cyanamide,Cyanamide,418.500000,407.900000,2.598676
Dolgonos-Hoja-Boese,RPBE+D3,cytosine,Cytosine,470.000000,440.300000,6.745401
Dolgonos-Hoja-Boese,RPBE+D3,ethylcarbamate,Ethyl carbamate,248.200000,231.200000,7.352941
Dolgonos-Hoja-Boese,RPBE+D3,formamide,Formamide,229.700000,211.900000,8.400189
Dolgonos-Hoja-Boese,RPBE+D3,hexamine,Hexamine,335.900000,321.600000,4.446517
Dolgonos-Hoja-Boese,RPBE+D3,imidazole,Imidazole,354.400000,336.400000,5.350773
Dolgonos-Hoja-Boese,RPBE+D3,naphthalene,Naphthalene,331.700000,329.700000,0.606612
Dolgonos-Hoja-Boese,RPBE+D3,oxalic_acid_alpha,Oxalic acid alpha,325.300000,293.200000,10.948158
Dolgonos-Hoja-Boese,RPBE+D3,oxalic_acid_beta,Oxalic acid beta,165.300000,150.500000,9.833887
Dolgonos-Hoja-Boese,RPBE+D3,pyrazine,Pyrazine,198.000000,189.600000,4.430380
Dolgonos-Hoja-Boese,RPBE+D3,pyrazole,Pyrazole,707.800000,662.500000,6.837736
Dolgonos-Hoja-Boese,RPBE+D3,succinic_acid,Succinic acid,254.200000,233.300000,8.958423
Dolgonos-Hoja-Boese,RPBE+D3,triazine,s-Triazine,567.700000,528.000000,7.518939
Dolgonos-Hoja-Boese,RPBE+D3,trioxane,s-Trioxane,640.700000,580.700000,10.332357
Dolgonos-Hoja-Boese,RPBE+D3,uracil,Uracil,464.200000,442.000000,5.022624
Dolgonos-Hoja-Boese,RPBE+D3,urea,Urea,146.900000,140.800000,4.332386
