case_id	phase	comparison_group	mode	batch_size	symmetry	pbc	spin	build	program_ended	mpi_processes	omp_threads	energy_evaluation_count	first_energy_hartree_text	final_energy_hartree_text	first_energy_hartree	final_energy_hartree	cp2k_total_time_seconds	oracle_line_count	debug_virial_sum_abs_au	debug_periodic_subspace_virial_sum_abs_au	debug_force_sum_abs_au	input_sha256	output_sha256
identity_full_222_legacy	pre_zero_safe	identity_full_222	legacy		full	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181230	-40.473758159181230	-40.47375815918123	-40.47375815918123	0.86	0				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	73d08fb52881dd829a6b44012180f536db186343b353416afe48b357e5f13dad
identity_full_222_batched_b1_oracle	pre_zero_safe	identity_full_222	batched	1	full	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181223	-40.473758159181223	-40.47375815918122	-40.47375815918122	1.726	2				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	32799ce5535cbabf65deb1d82c69249c584f491911d0223ba138ececcf312861
identity_full_222_batched_b2	pre_zero_safe	identity_full_222	batched	2	full	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181230	-40.473758159181230	-40.47375815918123	-40.47375815918123	1.332	2				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	420467ef4e81d104cac66fd66c10be48db1a99a431a1fa43d9b82323319a26b2
identity_full_222_batched_b7	pre_zero_safe	identity_full_222	batched	7	full	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181230	-40.473758159181230	-40.47375815918123	-40.47375815918123	1.128	2				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	f3c0fb430da32c0ace3330a8df72da4963588a389cfbacc99c33eb44b9313382
identity_full_222_batched_b8	pre_zero_safe	identity_full_222	batched	8	full	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181223	-40.473758159181223	-40.47375815918122	-40.47375815918122	1.006	2				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	e85f430ca3b3fd9dbd966d86931e75c1502b08e6e17a8dbb1b42760fb7bf1104
identity_full_222_batched_b9	pre_zero_safe	identity_full_222	batched	9	full	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181223	-40.473758159181223	-40.47375815918122	-40.47375815918122	1.017	2				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	5b1429294ed5b8222a7186cfc67bd673c12721a6b3ccb2ec9ae822e8e53a77d6
identity_full_222_batched_b1_mpi2	pre_zero_safe	identity_full_222	batched	1	full	3D	RKS	RelWithDebInfo	True	2	1	1	-40.473758159181223	-40.473758159181223	-40.47375815918122	-40.47375815918122	1.487	2				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	dbb994b1d220033988bab64fc1d341b837e18c7b5a19ce87f237dcccbd7ba0d3
identity_full_222_batched_b1_omp2	pre_zero_safe	identity_full_222	batched	1	full	3D	RKS	RelWithDebInfo	True	1	2	1	-40.473758159181223	-40.473758159181223	-40.47375815918122	-40.47375815918122	1.866	2				45ec4bfa0394c9ee580c339913edf49373666f27ed051962c7b6410147badfa7	3d8f853ef20e59ce4924322106aefd9fde75de773ec5ed370e80290744fbbaeb
spglib_222_legacy	pre_zero_safe	spglib_222	legacy		SPGLIB	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181230	-40.473758159181230	-40.47375815918123	-40.47375815918123	1.469	0				c1883bc519d2d57aacf712ffe57e167307544add1a04616f1ee67c1ca1fd620b	b7e72a41593f498ce63ce160a76f6e43d09639f5232c294c5c552b957d766531
spglib_222_batched_b1	pre_zero_safe	spglib_222	batched	1	SPGLIB	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181230	-40.473758159181230	-40.47375815918123	-40.47375815918123	2.444	2				c1883bc519d2d57aacf712ffe57e167307544add1a04616f1ee67c1ca1fd620b	a30aac636719387b475c46671527aeee5cefb39632607ba291e538bd6bf02f94
spglib_222_batched_b3	pre_zero_safe	spglib_222	batched	3	SPGLIB	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181230	-40.473758159181230	-40.47375815918123	-40.47375815918123	1.822	2				c1883bc519d2d57aacf712ffe57e167307544add1a04616f1ee67c1ca1fd620b	ac49b099d7e3a44e180fd611f8524a48a2b83a22a3b871a1a42722257d44039f
spglib_222_batched_b8	pre_zero_safe	spglib_222	batched	8	SPGLIB	3D	RKS	RelWithDebInfo	True	1	1	1	-40.473758159181223	-40.473758159181223	-40.47375815918122	-40.47375815918122	1.534	2				c1883bc519d2d57aacf712ffe57e167307544add1a04616f1ee67c1ca1fd620b	24bcb78d86ba956094c224049d6130e4b02b376d18bdfa9ec00de254c8207eda
spglib_222_derivative_legacy	pre_zero_safe	spglib_222_derivative	legacy		SPGLIB	3D	RKS	RelWithDebInfo	True	1	1	23	-40.473758159181230	-40.473761361335349	-40.47375815918123	-40.47376136133535	20.347	0	4.041e-09		0.0	8ebc026519a56c2a52d7cc92a94ac86998453f3ed5c3c6b409ffa676318feead	e762224cd432b036c764f8b8a1ced5b2eb8bf12d769707c60d8d76beca67f581
