case_id	phase	comparison_group	input_file	output_file	mode	batch_size	symmetry	pbc	spin	build	origin_input	origin_output
identity_full_222_legacy	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_legacy.out	legacy		full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/identity_b1/legacy_rel.out
identity_full_222_batched_b1_oracle	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_batched_b1_oracle.out	batched	1	full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/identity_b1/batched_b1_oracle_i1.out
identity_full_222_batched_b2	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_batched_b2.out	batched	2	full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/identity_b2/b2.out
identity_full_222_batched_b7	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_batched_b7.out	batched	7	full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/identity_b7/b7.out
identity_full_222_batched_b8	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_batched_b8.out	batched	8	full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/identity_b8/b8.out
identity_full_222_batched_b9	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_batched_b9.out	batched	9	full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/identity_b9/b9.out
identity_full_222_batched_b1_mpi2	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_batched_b1_mpi2.out	batched	1	full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/mpi2_b1.out
identity_full_222_batched_b1_omp2	pre_zero_safe	identity_full_222	raw/inputs/ch4_full_energy.inp	raw/outputs/identity_full_222_batched_b1_omp2.out	batched	1	full	3D	RKS	RelWithDebInfo	/private/tmp/gxtb_batch_runtime/identity_b1/ch4_full_energy.inp	/private/tmp/gxtb_batch_runtime/omp2_b1.out
spglib_222_legacy	pre_zero_safe	spglib_222	raw/inputs/ch4_spglib_oracle_iter2.inp	raw/outputs/spglib_222_legacy.out	legacy		SPGLIB	3D	RKS	RelWithDebInfo	/private/tmp/gxtb-cache-runtime-results-r3/inputs/ch4_spglib_oracle_iter2.inp	/private/tmp/gxtb_batch_runtime/spglib_legacy/legacy.out
spglib_222_batched_b1	pre_zero_safe	spglib_222	raw/inputs/ch4_spglib_oracle_iter2.inp	raw/outputs/spglib_222_batched_b1.out	batched	1	SPGLIB	3D	RKS	RelWithDebInfo	/private/tmp/gxtb-cache-runtime-results-r3/inputs/ch4_spglib_oracle_iter2.inp	/private/tmp/gxtb_batch_runtime/spglib_b1/b1.out
