section,quantity,method,value,unit,context,source
DMC13,gamma MAE,GFN1-xTB,6.694624,kJ mol-1 per H2O,13 phases; relative to Ih,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,gamma MAE,GFN2-xTB,5.578897,kJ mol-1 per H2O,13 phases; relative to Ih,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 ME,GFN1-xTB,-8.005255,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 MAE,GFN1-xTB,8.005255,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 RMSE,GFN1-xTB,8.650658,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 MaxAE,GFN1-xTB,13.663936,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 ME,GFN2-xTB,-2.837920,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 MAE,GFN2-xTB,3.462919,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 RMSE,GFN2-xTB,3.812981,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
DMC13,k333 MaxAE,GFN2-xTB,6.346296,kJ mol-1 per H2O,12 non-Ih phases,DMC-ICE13/data/dmc_ice13_kpoint_stats.csv
X23b,lattice-energy ME,GFN1-xTB,0.258871,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,lattice-energy MAE,GFN1-xTB,11.345702,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,lattice-energy RMSE,GFN1-xTB,14.019344,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,lattice-energy MaxAE,GFN1-xTB,30.935058,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,lattice-energy ME,GFN2-xTB,-12.018989,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,lattice-energy MAE,GFN2-xTB,14.092104,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,lattice-energy RMSE,GFN2-xTB,21.341752,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,lattice-energy MaxAE,GFN2-xTB,77.785392,kJ mol-1,k333 SP on 23 k222-optimized cells,X23b/data/x23b_summary.csv
X23b,volume ME,GFN1-xTB,-5.960071,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
X23b,volume MAE,GFN1-xTB,7.514116,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
X23b,volume RMSE,GFN1-xTB,9.019708,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
X23b,volume MaxAE,GFN1-xTB,19.236681,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
X23b,volume ME,GFN2-xTB,-1.657324,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
X23b,volume MAE,GFN2-xTB,5.842296,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
X23b,volume RMSE,GFN2-xTB,7.530373,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
X23b,volume MaxAE,GFN2-xTB,19.952589,percent,23 native Bloch k222 cell optimizations,X23b/data/x23b_summary.csv
LC10,lattice-constant MAE,GFN1-xTB,0.145117814,A,exact fixed common10 k444 EOS fits,Goldzak12/data/eos_fits.csv
LC10,cohesive-energy MAE,GFN1-xTB,1.543850919,eV atom-1,k555 energies on exact fixed common10 k444 EOS minima,Goldzak12/data/eos_results.csv
LC10,lattice-constant MAE,GFN2-xTB,0.062409685,A,exact fixed common10 k444 EOS fits,Goldzak12/data/eos_fits.csv
LC10,cohesive-energy MAE,GFN2-xTB,1.299324835,eV atom-1,k555 energies on exact fixed common10 k444 EOS minima,Goldzak12/data/eos_results.csv
